timestamp,value
2025-07-05T00:00:03Z,94.7
2025-07-05T00:01:03Z,94.7
2025-07-05T00:02:03Z,94.9
2025-07-05T00:03:03Z,95.0
2025-07-05T00:04:03Z,95.1
2025-07-05T00:05:03Z,95.2
2025-07-05T00:06:03Z,95.3
2025-07-05T00:07:03Z,95.3
2025-07-05T00:08:03Z,95.4
2025-07-05T00:09:03Z,95.5
2025-07-05T00:10:03Z,95.5
2025-07-05T00:11:03Z,95.5
2025-07-05T00:12:03Z,95.6
2025-07-05T00:13:03Z,95.6
2025-07-05T00:14:03Z,95.8
2025-07-05T00:15:03Z,96.0
2025-07-05T00:16:03Z,96.1
2025-07-05T00:17:03Z,50.0
2025-07-05T00:18:03Z,96.4
2025-07-05T00:19:03Z,96.5
2025-07-05T00:20:03Z,96.6
2025-07-05T00:21:03Z,96.7
2025-07-05T00:22:03Z,96.7
2025-07-05T00:23:03Z,96.8
2025-07-05T00:24:03Z,96.7
2025-07-05T00:25:03Z,96.7
2025-07-05T00:26:03Z,96.7
2025-07-05T00:27:03Z,96.5
2025-07-05T00:28:03Z,96.4
2025-07-05T00:29:03Z,96.3
2025-07-05T00:30:03Z,96.1
2025-07-05T00:31:03Z,95.9
2025-07-05T00:32:03Z,95.7
2025-07-05T00:33:03Z,50.0
2025-07-05T00:34:03Z,95.5
2025-07-05T00:35:03Z,95.2
2025-07-05T00:36:03Z,94.8
2025-07-05T00:37:03Z,94.8
2025-07-05T00:38:03Z,94.6
2025-07-05T00:39:03Z,94.5
2025-07-05T00:40:03Z,94.3
2025-07-05T00:41:03Z,94.1
2025-07-05T00:42:03Z,93.6
2025-07-05T00:43:03Z,93.3
2025-07-05T00:44:03Z,93.3
2025-07-05T00:45:03Z,93.2
2025-07-05T00:46:03Z,93.1
2025-07-05T00:47:03Z,92.8
2025-07-05T00:48:03Z,92.9
2025-07-05T00:49:03Z,92.7
2025-07-05T00:50:03Z,92.8
2025-07-05T00:51:03Z,92.8
2025-07-05T00:52:03Z,92.8
2025-07-05T00:53:03Z,92.9
2025-07-05T00:54:03Z,92.8
2025-07-05T00:55:03Z,92.9
2025-07-05T00:56:03Z,92.7
2025-07-05T00:57:03Z,92.5
2025-07-05T00:58:03Z,92.4
2025-07-05T00:59:03Z,92.5
2025-07-05T01:00:03Z,92.6
2025-07-05T01:01:03Z,93.3
2025-07-05T01:02:03Z,93.5
2025-07-05T01:03:03Z,93.4
2025-07-05T01:04:03Z,93.2
2025-07-05T01:05:03Z,93.0
2025-07-05T01:06:03Z,93.0
2025-07-05T01:07:03Z,92.8
2025-07-05T01:08:03Z,50.0
2025-07-05T01:09:03Z,93.0
2025-07-05T01:10:03Z,93.7
2025-07-05T01:11:03Z,94.2
2025-07-05T01:12:03Z,94.4
2025-07-05T01:13:03Z,50.0
2025-07-05T01:14:03Z,50.0
2025-07-05T01:15:03Z,50.0
2025-07-05T01:16:03Z,50.0
2025-07-05T01:17:03Z,50.0
2025-07-05T01:18:03Z,50.0
2025-07-05T01:19:03Z,50.0
2025-07-05T01:20:03Z,50.0
2025-07-05T01:21:03Z,50.0
2025-07-05T01:22:03Z,50.0
2025-07-05T01:23:03Z,50.0
2025-07-05T01:24:03Z,50.0
2025-07-05T01:25:03Z,50.0
2025-07-05T03:35:33Z,99.1
2025-07-05T03:36:33Z,99.5
2025-07-05T03:37:33Z,99.4
2025-07-05T03:38:33Z,50.0
2025-07-05T03:39:33Z,98.2
2025-07-05T03:45:03Z,99.0
2025-07-05T03:46:03Z,98.0
2025-07-05T03:47:03Z,97.2
2025-07-05T03:48:03Z,97.1
2025-07-05T03:49:03Z,96.5
2025-07-05T03:50:03Z,96.5
2025-07-05T03:51:03Z,96.8
2025-07-05T04:01:33Z,98.7
2025-07-05T04:02:33Z,98.6
2025-07-05T04:03:33Z,50.0
2025-07-05T04:04:33Z,50.0
2025-07-05T04:05:33Z,98.0
2025-07-05T04:06:33Z,50.0
2025-07-05T04:07:33Z,50.0
2025-07-05T04:08:33Z,50.0
2025-07-05T04:09:33Z,50.0
2025-07-05T04:10:33Z,50.0
2025-07-05T04:11:33Z,50.0
2025-07-05T04:12:33Z,50.0
2025-07-05T04:13:33Z,50.0
2025-07-05T04:14:33Z,97.6
2025-07-05T04:15:33Z,50.0
2025-07-05T04:16:33Z,50.0
2025-07-05T04:17:33Z,50.0
2025-07-05T04:59:03Z,99.9
2025-07-05T05:00:03Z,99.9
2025-07-05T05:01:03Z,99.8
2025-07-05T05:02:03Z,99.3
2025-07-05T05:03:03Z,98.2
2025-07-05T05:04:03Z,94.7
2025-07-05T05:05:03Z,93.5
2025-07-05T05:06:03Z,93.7
2025-07-05T05:07:03Z,50.0
2025-07-05T05:16:33Z,93.3
2025-07-05T05:17:33Z,90.6
2025-07-05T05:18:33Z,89.9
2025-07-05T05:19:33Z,89.8
2025-07-05T05:20:33Z,88.3
2025-07-05T05:21:33Z,88.2
2025-07-05T05:22:33Z,89.2
2025-07-05T05:23:33Z,91.2
2025-07-05T05:24:33Z,91.9
2025-07-05T05:25:33Z,91.9
2025-07-05T05:26:33Z,92.0
2025-07-05T05:27:33Z,91.5
2025-07-05T05:28:33Z,91.2
2025-07-05T05:29:33Z,89.7
2025-07-05T05:30:33Z,91.5
2025-07-05T05:31:33Z,92.7
2025-07-05T05:32:33Z,93.7
2025-07-05T05:33:33Z,93.5
2025-07-05T05:34:33Z,91.5
2025-07-05T05:35:33Z,92.1
2025-07-05T05:36:33Z,50.0
2025-07-05T05:37:33Z,50.0
2025-07-05T05:38:33Z,50.0
2025-07-05T05:39:33Z,50.0
2025-07-05T05:40:33Z,50.0
2025-07-05T05:41:33Z,50.0
2025-07-05T05:42:33Z,50.0
2025-07-05T05:43:33Z,50.0
2025-07-05T05:44:33Z,50.0
2025-07-05T05:45:33Z,88.3
2025-07-05T05:46:33Z,50.0
2025-07-05T05:47:33Z,50.0
2025-07-05T05:48:33Z,50.0
2025-07-05T05:49:33Z,91.0
2025-07-05T05:50:33Z,93.1
2025-07-05T05:51:33Z,94.4
2025-07-05T05:52:33Z,95.8
2025-07-05T05:53:33Z,96.4
2025-07-05T05:54:33Z,50.0
2025-07-05T05:55:33Z,94.3
2025-07-05T05:56:33Z,94.5
2025-07-05T05:57:33Z,94.7
2025-07-05T05:58:33Z,94.7
2025-07-05T05:59:33Z,94.7
2025-07-05T06:00:33Z,94.2
2025-07-05T06:01:33Z,94.2
2025-07-05T06:02:33Z,94.7
2025-07-05T06:03:33Z,94.6
2025-07-05T06:04:33Z,50.0
2025-07-05T06:53:03Z,83.4
2025-07-05T06:54:03Z,87.4
2025-07-05T06:55:03Z,50.0
2025-07-05T06:56:03Z,89.6
2025-07-05T06:57:03Z,50.0
2025-07-05T06:58:03Z,50.0
2025-07-05T06:59:03Z,91.0
2025-07-05T08:27:03Z,82.2
2025-07-05T08:28:03Z,85.8
2025-07-05T08:29:03Z,88.1
2025-07-05T08:30:03Z,89.9
2025-07-05T08:31:03Z,91.0
2025-07-05T08:32:03Z,91.2
2025-07-05T08:33:03Z,89.8
2025-07-05T08:34:03Z,89.5
2025-07-05T08:35:03Z,89.0
