timestamp,magnet exists
2023-05-01T00:00:00Z,false
2023-05-01T00:01:00Z,false
2023-05-01T00:02:00Z,false
2023-05-01T00:03:00Z,false
2023-05-01T00:04:00Z,false
2023-05-01T00:08:00Z,false
2023-05-01T00:11:00Z,false
2023-05-01T00:12:00Z,false
2023-05-01T00:14:00Z,false
2023-05-01T00:15:00Z,false
2023-05-01T00:17:00Z,false
2023-05-01T00:18:00Z,false
2023-05-01T00:19:00Z,false
2023-05-01T00:20:00Z,false
2023-05-01T00:21:00Z,false
2023-05-01T00:22:00Z,false
2023-05-01T00:31:00Z,false
2023-05-01T00:37:00Z,false
2023-05-01T00:40:00Z,false
2023-05-01T00:46:00Z,false
2023-05-01T00:54:00Z,false
2023-05-01T00:55:00Z,false
2023-05-01T00:56:00Z,false
2023-05-01T01:03:00Z,false
2023-05-01T01:04:00Z,false
2023-05-01T01:05:00Z,false
2023-05-01T01:08:00Z,false
2023-05-01T01:10:00Z,false
2023-05-01T01:11:00Z,false
2023-05-01T01:12:00Z,false
2023-05-01T02:17:00Z,false
2023-05-01T02:18:00Z,false
2023-05-01T02:19:00Z,false
2023-05-01T02:20:00Z,false
2023-05-01T02:21:00Z,false
2023-05-01T02:22:00Z,false
2023-05-01T02:23:00Z,false
2023-05-01T02:24:00Z,false
2023-05-01T02:25:00Z,false
2023-05-01T02:26:00Z,false
2023-05-01T02:27:00Z,false
2023-05-01T02:28:00Z,false
2023-05-01T02:29:00Z,false
2023-05-01T02:30:00Z,false
2023-05-01T02:32:00Z,false
2023-05-01T02:35:00Z,false
2023-05-01T02:41:00Z,false
2023-05-01T02:42:00Z,false
2023-05-01T02:43:00Z,false
2023-05-01T02:47:00Z,false
2023-05-01T02:49:00Z,false
2023-05-01T02:55:00Z,false
2023-05-01T02:56:00Z,false
2023-05-01T02:57:00Z,false
2023-05-01T02:58:01Z,false
2023-05-01T02:59:00Z,false
2023-05-01T03:00:00Z,false
2023-05-01T03:01:00Z,false
2023-05-01T03:02:00Z,false
2023-05-01T03:03:00Z,false
2023-05-01T03:04:00Z,false
2023-05-01T03:05:00Z,false
2023-05-01T03:06:00Z,false
2023-05-01T03:07:00Z,false
2023-05-01T03:08:00Z,false
2023-05-01T03:09:00Z,false
2023-05-01T03:10:00Z,false
2023-05-01T03:11:00Z,false
2023-05-01T03:12:00Z,false
2023-05-01T03:13:00Z,false
2023-05-01T03:14:00Z,false
2023-05-01T03:15:00Z,false
2023-05-01T03:18:00Z,false
2023-05-01T03:22:00Z,false
2023-05-01T03:23:00Z,false
2023-05-01T03:24:00Z,false
2023-05-01T03:25:00Z,false
2023-05-01T03:26:00Z,false
2023-05-01T03:27:00Z,false
2023-05-01T03:28:00Z,false
2023-05-01T03:29:00Z,false
2023-05-01T03:30:00Z,false
2023-05-01T03:31:00Z,false
2023-05-01T03:32:00Z,false
2023-05-01T03:33:00Z,false
2023-05-01T03:34:00Z,false
2023-05-01T03:35:00Z,false
2023-05-01T03:36:00Z,false
2023-05-01T03:38:00Z,false
2023-05-01T03:40:00Z,false
2023-05-01T03:41:00Z,false
2023-05-01T03:42:00Z,false
2023-05-01T03:43:00Z,false
2023-05-01T03:44:00Z,false
2023-05-01T03:45:00Z,false
2023-05-01T03:48:00Z,false
2023-05-01T03:49:00Z,false
2023-05-01T03:52:00Z,false
2023-05-01T03:53:00Z,false
2023-05-01T03:54:00Z,false
2023-05-01T03:55:00Z,false
2023-05-01T03:56:00Z,false
2023-05-01T03:59:00Z,false
2023-05-01T04:03:00Z,false
2023-05-01T04:09:00Z,false
2023-05-01T04:13:00Z,false
2023-05-01T04:15:00Z,false
2023-05-01T04:19:00Z,false
2023-05-01T04:22:00Z,false
2023-05-01T04:25:00Z,false
2023-05-01T04:26:00Z,false
2023-05-01T04:28:00Z,false
2023-05-01T04:30:00Z,false
2023-05-01T04:35:00Z,false
2023-05-01T04:37:00Z,false
2023-05-01T04:38:00Z,false
2023-05-01T04:39:00Z,false
2023-05-01T04:40:00Z,false
2023-05-01T04:43:00Z,false
