timestamp,heart rate zone,total minutes
2025-07-04T17:51:00Z,fat burn,1
2025-07-04T17:58:00Z,fat burn,1
2025-07-04T18:02:00Z,fat burn,1
2025-07-04T18:03:00Z,fat burn,1
2025-07-04T18:05:00Z,fat burn,1
2025-07-04T18:06:00Z,fat burn,1
2025-07-04T18:07:00Z,cardio,2
2025-07-04T18:08:00Z,cardio,2
2025-07-04T18:09:00Z,cardio,2
2025-07-04T18:10:00Z,cardio,2
2025-07-04T18:11:00Z,peak,2
2025-07-04T18:12:00Z,peak,2
2025-07-04T18:13:00Z,peak,2
2025-07-04T18:14:00Z,peak,2
2025-07-04T18:15:00Z,peak,2
2025-07-04T18:16:00Z,peak,2
2025-07-04T18:17:00Z,peak,2
2025-07-04T18:18:00Z,peak,2
2025-07-04T18:19:00Z,peak,2
2025-07-04T18:20:00Z,peak,2
2025-07-04T18:21:00Z,peak,2
2025-07-04T18:22:00Z,cardio,2
2025-07-04T18:23:00Z,fat burn,1
2025-07-04T18:24:00Z,fat burn,1
2025-07-04T18:25:00Z,fat burn,1
2025-07-04T18:26:00Z,fat burn,1
2025-07-04T18:27:00Z,fat burn,1
2025-07-04T18:28:00Z,fat burn,1
2025-07-04T18:29:00Z,fat burn,1
2025-07-04T18:41:00Z,fat burn,1
2025-07-04T18:42:00Z,fat burn,1
2025-07-04T18:43:00Z,fat burn,1
2025-07-04T18:50:00Z,fat burn,1
2025-07-05T01:23:00Z,fat burn,1
2025-07-05T02:39:00Z,fat burn,1
2025-07-05T05:39:00Z,fat burn,1
2025-07-05T05:41:00Z,fat burn,1
2025-07-05T05:42:00Z,fat burn,1
2025-07-05T21:06:00Z,fat burn,1
2025-07-05T22:51:00Z,fat burn,1
2025-07-06T00:44:00Z,fat burn,1
2025-07-07T00:34:00Z,fat burn,1
2025-07-07T02:03:00Z,fat burn,1
2025-07-07T02:04:00Z,fat burn,1
2025-07-07T02:05:00Z,fat burn,1
2025-07-07T02:06:00Z,fat burn,1
2025-07-07T02:07:00Z,fat burn,1
2025-07-07T02:08:00Z,fat burn,1
2025-07-07T02:09:00Z,cardio,2
2025-07-07T02:10:00Z,fat burn,1
2025-07-07T02:11:00Z,cardio,2
2025-07-07T02:12:00Z,cardio,2
2025-07-07T02:13:00Z,fat burn,1
2025-07-07T02:14:00Z,cardio,2
2025-07-07T02:15:00Z,cardio,2
2025-07-07T02:16:00Z,cardio,2
2025-07-07T02:17:00Z,cardio,2
2025-07-07T02:18:00Z,cardio,2
2025-07-07T02:19:00Z,cardio,2
2025-07-07T02:20:00Z,cardio,2
2025-07-07T02:21:00Z,fat burn,1
2025-07-07T02:22:00Z,fat burn,1
2025-07-07T02:23:00Z,cardio,2
2025-07-07T02:24:00Z,cardio,2
2025-07-07T02:25:00Z,fat burn,1
2025-07-07T02:26:00Z,cardio,2
2025-07-07T02:27:00Z,cardio,2
2025-07-07T02:28:00Z,cardio,2
2025-07-07T02:29:00Z,cardio,2
2025-07-07T02:30:00Z,peak,2
2025-07-07T02:31:00Z,cardio,2
2025-07-07T02:32:00Z,peak,2
2025-07-07T02:33:00Z,peak,2
2025-07-07T02:34:00Z,cardio,2
2025-07-07T02:35:00Z,cardio,2
2025-07-07T02:36:00Z,cardio,2
2025-07-07T02:37:00Z,peak,2
2025-07-07T02:38:00Z,cardio,2
2025-07-07T02:39:00Z,cardio,2
2025-07-07T02:40:00Z,peak,2
2025-07-07T02:41:00Z,peak,2
2025-07-07T02:42:00Z,peak,2
2025-07-07T02:43:00Z,peak,2
2025-07-07T02:44:00Z,cardio,2
2025-07-07T02:45:00Z,cardio,2
2025-07-07T02:46:00Z,fat burn,1
2025-07-07T02:47:00Z,fat burn,1
2025-07-07T02:48:00Z,fat burn,1
2025-07-07T02:49:00Z,fat burn,1
2025-07-07T02:50:00Z,fat burn,1
2025-07-07T02:51:00Z,fat burn,1
2025-07-07T02:52:00Z,fat burn,1
2025-07-07T02:53:00Z,cardio,2
2025-07-07T02:54:00Z,fat burn,1
2025-07-07T02:55:00Z,fat burn,1
2025-07-07T02:56:00Z,fat burn,1
2025-07-07T02:57:00Z,fat burn,1
2025-07-07T02:58:00Z,fat burn,1
2025-07-07T02:59:00Z,fat burn,1
2025-07-07T03:00:00Z,fat burn,1
2025-07-07T03:01:00Z,fat burn,1
2025-07-07T03:02:00Z,fat burn,1
2025-07-07T03:09:00Z,fat burn,1
2025-07-07T03:10:00Z,fat burn,1
2025-07-07T04:05:00Z,fat burn,1
2025-07-07T04:15:00Z,fat burn,1
2025-07-07T04:17:00Z,fat burn,1
2025-07-07T04:18:00Z,fat burn,1
2025-07-07T06:08:00Z,fat burn,1
2025-07-07T07:37:00Z,fat burn,1
2025-07-07T07:38:00Z,fat burn,1
2025-07-07T14:25:00Z,fat burn,1
