timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds
2023-07-01T00:55:00Z,30.121,0.0
2023-07-01T01:00:00Z,28.214,0.0
2023-07-01T01:10:00Z,34.85,0.0
2023-07-01T01:15:00Z,30.072,0.0
2023-07-01T01:25:00Z,24.711,0.0
2023-07-01T01:30:00Z,25.257,0.0
2023-07-01T01:35:00Z,21.637,0.0
2023-07-01T01:40:00Z,25.732,0.0
2023-07-01T01:45:00Z,25.248,0.0
2023-07-01T01:50:00Z,49.038,0.0
2023-07-01T01:55:00Z,39.171,0.0
2023-07-01T02:00:00Z,44.197,0.0
2023-07-01T02:05:00Z,40.547,0.0
2023-07-01T02:10:00Z,45.917,0.0
2023-07-01T02:15:00Z,34.703,0.0
2023-07-01T02:20:00Z,16.658,0.0
2023-07-01T02:25:00Z,12.991,0.0
2023-07-01T02:30:00Z,16.392,0.0
2023-07-01T02:35:00Z,19.652,0.0
2023-07-01T02:40:00Z,20.235,0.0
2023-07-01T02:45:00Z,15.469,0.0
2023-07-01T02:50:00Z,28.25,0.0
2023-07-01T02:55:00Z,23.168,0.0
2023-07-01T03:00:00Z,21.193,0.0
2023-07-01T03:05:00Z,24.799,0.0
2023-07-01T03:10:00Z,25.076,0.0
2023-07-01T03:15:00Z,28.186,0.0
2023-07-01T03:20:00Z,28.529,0.0
2023-07-01T03:25:00Z,27.441,0.0
2023-07-01T03:30:00Z,32.245,0.0
2023-07-01T03:35:00Z,40.418,0.0
2023-07-01T03:40:00Z,48.742,0.0
2023-07-01T03:45:00Z,54.335,0.0
2023-07-01T03:50:00Z,47.729,0.0
2023-07-01T03:55:00Z,57.803,0.0
2023-07-01T04:00:00Z,39.275,0.0
2023-07-01T04:05:00Z,42.705,0.0
2023-07-01T04:10:00Z,41.153,0.0
2023-07-01T04:15:00Z,53.856,0.0
2023-07-01T04:20:00Z,52.059,0.0
2023-07-01T04:25:00Z,42.167,0.0
2023-07-01T04:30:00Z,56.916,0.0
2023-07-01T04:35:00Z,57.76,0.0
2023-07-01T04:40:00Z,50.053,0.0
2023-07-01T04:45:00Z,38.413,0.0
2023-07-01T04:50:00Z,30.481,0.0
2023-07-01T04:55:00Z,17.98,0.0
2023-07-01T05:00:00Z,34.826,0.0
2023-07-01T05:05:00Z,32.791,0.0
2023-07-01T05:10:00Z,36.947,0.0
2023-07-01T05:15:00Z,52.574,0.0
2023-07-01T05:20:00Z,48.702,0.0
2023-07-01T05:25:00Z,50.408,0.0
2023-07-01T05:30:00Z,40.327,0.0
2023-07-01T05:35:00Z,39.107,0.0
2023-07-01T05:40:00Z,46.611,0.0
2023-07-01T05:45:00Z,41.26,0.0
2023-07-01T06:10:00Z,48.089,0.0
2023-07-01T06:15:00Z,54.679,0.0
2023-07-01T06:20:00Z,49.255,0.0
2023-07-01T06:25:00Z,37.868,0.0
2023-07-01T06:30:00Z,55.52,0.0
2023-07-01T06:40:00Z,66.294,0.0
2023-07-01T06:55:00Z,45.292,0.0
2023-07-01T07:00:00Z,45.776,0.0
2023-07-01T07:05:00Z,44.314,0.0
2023-07-01T07:10:00Z,45.608,0.0
2023-07-01T07:15:00Z,42.665,0.0
2023-07-01T07:20:00Z,31.479,0.0
2023-07-01T07:25:00Z,50.206,0.0
2023-07-02T23:00:00Z,25.273,0.0
2023-07-02T23:05:00Z,35.385,0.0
2023-07-02T23:10:00Z,32.527,0.0
2023-07-02T23:15:00Z,18.581,0.0
2023-07-02T23:30:00Z,15.319,0.0
2023-07-02T23:35:00Z,16.025,0.0
2023-07-02T23:40:00Z,31.854,0.0
2023-07-02T23:45:00Z,30.213,0.0
2023-07-02T23:50:00Z,20.512,0.0
2023-07-02T23:55:00Z,20.08,0.0
2023-07-03T00:00:00Z,34.169,0.0
2023-07-03T00:05:00Z,41.61,0.0
2023-07-03T00:10:00Z,46.804,0.0
2023-07-03T00:15:00Z,45.399,0.0
2023-07-03T00:20:00Z,42.013,0.0
2023-07-03T00:25:00Z,27.393,0.0
2023-07-03T00:30:00Z,28.974,0.0
2023-07-03T00:35:00Z,22.86,0.0
2023-07-03T00:40:00Z,21.055,0.0
2023-07-03T00:45:00Z,20.146,0.0
2023-07-03T00:50:00Z,23.269,0.0
2023-07-03T00:55:00Z,20.356,0.0
2023-07-03T01:00:00Z,21.827,0.0
2023-07-03T01:05:00Z,29.151,0.0
2023-07-03T01:10:00Z,35.43,0.0
2023-07-03T01:15:00Z,25.088,0.0
2023-07-03T01:25:00Z,24.872,0.0
2023-07-03T01:40:00Z,28.356,0.0
2023-07-03T01:45:00Z,27.278,0.0
2023-07-03T01:50:00Z,35.14,0.0
2023-07-03T01:55:00Z,39.958,0.0
2023-07-03T02:00:00Z,49.451,0.0
2023-07-03T02:05:00Z,44.064,0.0
2023-07-03T02:10:00Z,37.448,0.0
2023-07-03T02:15:00Z,35.76,0.0
2023-07-03T02:20:00Z,37.262,0.0
2023-07-03T02:25:00Z,40.383,0.0
2023-07-03T02:30:00Z,44.545,0.0
2023-07-03T02:35:00Z,35.213,0.0
2023-07-03T02:40:00Z,29.632,0.0
2023-07-03T02:45:00Z,26.97,0.0
2023-07-03T02:50:00Z,26.27,0.0
2023-07-03T02:55:00Z,31.174,0.0
2023-07-03T03:00:00Z,29.681,0.0
2023-07-03T03:05:00Z,35.677,0.0
2023-07-03T03:10:00Z,38.768,0.0
2023-07-03T03:15:00Z,35.919,0.0
2023-07-03T03:20:00Z,20.444,0.0
2023-07-03T03:25:00Z,10.79,0.0
2023-07-03T03:30:00Z,11.881,0.0
2023-07-03T03:35:00Z,14.43,0.0
