timestamp,beats per minute
2023-06-03T00:00:01Z,76.0
2023-06-03T00:00:11Z,75.0
2023-06-03T00:00:26Z,75.0
2023-06-03T00:00:31Z,76.0
2023-06-03T00:00:41Z,75.0
2023-06-03T00:00:51Z,74.0
2023-06-03T00:01:01Z,75.0
2023-06-03T00:01:16Z,79.0
2023-06-03T00:01:26Z,79.0
2023-06-03T00:01:31Z,78.0
2023-06-03T00:01:46Z,79.0
2023-06-03T00:01:56Z,84.0
2023-06-03T00:02:01Z,87.0
2023-06-03T00:02:06Z,86.0
2023-06-03T00:02:11Z,84.0
2023-06-03T00:02:16Z,83.0
2023-06-03T00:02:31Z,83.0
2023-06-03T00:02:41Z,84.0
2023-06-03T00:02:46Z,84.0
2023-06-03T00:02:56Z,79.0
2023-06-03T00:03:11Z,79.0
2023-06-03T00:03:16Z,78.0
2023-06-03T00:03:21Z,77.0
2023-06-03T00:03:36Z,78.0
2023-06-03T00:03:46Z,79.0
2023-06-03T00:03:56Z,78.0
2023-06-03T00:04:01Z,77.0
2023-06-03T00:04:11Z,74.0
2023-06-03T00:04:16Z,77.0
2023-06-03T00:04:21Z,78.0
2023-06-03T00:04:31Z,79.0
2023-06-03T00:04:36Z,80.0
2023-06-03T00:04:41Z,81.0
2023-06-03T00:04:46Z,83.0
2023-06-03T00:04:51Z,82.0
2023-06-03T00:04:56Z,80.0
2023-06-03T00:05:01Z,80.0
2023-06-03T00:05:06Z,79.0
2023-06-03T00:05:11Z,78.0
2023-06-03T00:05:16Z,74.0
2023-06-03T00:05:21Z,71.0
2023-06-03T00:05:31Z,72.0
2023-06-03T00:05:36Z,71.0
2023-06-03T00:05:41Z,71.0
2023-06-03T00:05:46Z,70.0
2023-06-03T00:05:51Z,70.0
2023-06-03T00:05:56Z,71.0
2023-06-03T00:06:06Z,72.0
2023-06-03T00:06:11Z,78.0
2023-06-03T00:06:16Z,85.0
2023-06-03T00:06:21Z,88.0
2023-06-03T00:06:27Z,90.0
2023-06-03T00:06:32Z,84.0
2023-06-03T00:06:37Z,82.0
2023-06-03T00:06:42Z,78.0
2023-06-03T00:06:47Z,80.0
2023-06-03T00:06:52Z,82.0
2023-06-03T00:06:57Z,82.0
2023-06-03T00:07:07Z,81.0
2023-06-03T00:07:22Z,83.0
2023-06-03T00:07:37Z,83.0
2023-06-03T00:07:42Z,81.0
2023-06-03T00:07:47Z,80.0
2023-06-03T00:08:02Z,81.0
2023-06-03T00:08:17Z,82.0
2023-06-03T00:08:22Z,79.0
2023-06-03T00:08:27Z,77.0
2023-06-03T00:08:42Z,77.0
