timestamp,distance
2023-06-01T17:31:00Z,19.90
2023-06-01T17:32:00Z,54.50
2023-06-01T17:33:00Z,66.30
2023-06-01T17:34:00Z,23.60
2023-06-01T17:35:00Z,25.80
2023-06-01T17:36:00Z,37.60
2023-06-01T17:37:00Z,49.40
2023-06-01T17:38:00Z,16.90
2023-06-01T17:39:00Z,17.70
2023-06-01T17:40:00Z,16.20
2023-06-01T17:41:00Z,10.30
2023-06-01T17:42:00Z,15.40
2023-06-01T17:43:00Z,54.50
2023-06-01T17:44:00Z,78.90
2023-06-01T17:45:00Z,60.40
2023-06-01T17:46:00Z,7.30
2023-06-01T17:47:00Z,30.90
2023-06-01T17:48:00Z,22.10
2023-06-01T17:49:00Z,61.90
2023-06-01T17:50:00Z,68.50
2023-06-01T17:51:00Z,72.20
2023-06-01T17:52:00Z,64.10
2023-06-01T17:53:00Z,75.90
2023-06-01T17:54:00Z,77.40
2023-06-01T17:55:00Z,74.40
2023-06-01T17:56:00Z,75.10
2023-06-01T17:57:00Z,81.10
2023-06-01T17:58:00Z,84.70
2023-06-01T17:59:00Z,75.10
2023-06-01T18:00:00Z,72.20
2023-06-01T18:01:00Z,84.00
2023-06-01T18:02:00Z,79.60
2023-06-01T18:03:00Z,80.30
2023-06-01T18:04:00Z,84.00
2023-06-01T18:05:00Z,78.80
2023-06-01T18:06:00Z,81.10
2023-06-01T18:07:00Z,81.10
2023-06-01T18:08:00Z,81.80
2023-06-01T18:09:00Z,80.30
2023-06-01T18:10:00Z,81.10
2023-06-01T18:11:00Z,82.60
2023-06-01T18:12:00Z,78.10
2023-06-01T18:13:00Z,83.30
2023-06-01T18:14:00Z,79.60
2023-06-01T18:15:00Z,81.80
2023-06-01T18:16:00Z,80.30
2023-06-01T18:17:00Z,84.70
2023-06-01T18:18:00Z,78.20
2023-06-01T18:19:00Z,81.00
2023-06-01T18:20:00Z,78.10
2023-06-01T18:21:00Z,81.10
2023-06-01T18:22:00Z,78.10
2023-06-01T18:23:00Z,78.10
2023-06-01T18:24:00Z,76.60
2023-06-01T18:25:00Z,76.70
2023-06-01T18:26:00Z,84.80
2023-06-01T18:27:00Z,83.30
2023-06-01T18:28:00Z,83.30
