timestamp,deep sleep stats - milli breaths per minute,deep sleep stats - standard deviation milli breaths per minute,deep sleep stats - signal to noise,light sleep stats - milli breaths per minute,light sleep stats - standard deviation milli breaths per minute,light sleep stats - signal to noise,rem sleep stats - milli breaths per minute,rem sleep stats - standard deviation milli breaths per minute,rem sleep stats - signal to noise,full sleep stats - milli breaths per minute,full sleep stats - standard deviation milli breaths per minute,full sleep stats - signal to noise
2023-05-01T07:04:30Z,16.8,0.7,9.228,15.6,1.2,17.741,16.0,0.7,5.005,16.8,0.7,9.228
2023-05-02T06:07:30Z,16.4,0.8,7.175,14.4,1.0,7.809,16.4,1.0,4.114,16.4,0.8,7.175
2023-05-03T07:04:30Z,16.2,1.6,10.567,14.8,1.9,13.317,15.2,1.5,4.731,16.2,1.6,10.567
2023-05-04T06:58:00Z,15.6,1.0,5.623,16.2,1.7,7.884,13.0,0.7,2.846,15.6,1.0,5.623
2023-05-05T07:02:00Z,17.6,1.0,2.875,15.8,2.2,10.115,14.8,2.6,3.244,15.8,2.2,10.115
2023-05-06T07:22:30Z,15.2,0.8,7.693,16.4,0.8,8.721,15.6,2.1,7.268,15.2,0.8,7.693
2023-05-07T08:19:30Z,15.6,1.2,14.394,15.8,1.0,14.562,15.0,1.7,6.313,15.6,1.2,14.394
2023-05-08T07:06:30Z,18.0,1.2,12.78,15.4,1.8,6.126,15.0,2.5,4.312,18.0,1.2,12.78
2023-05-09T05:35:30Z,17.4,0.9,10.997,17.0,0.9,11.912,15.0,1.6,3.561,17.4,0.9,10.997
2023-05-10T06:51:30Z,15.6,1.1,10.753,15.8,1.2,10.07,-1.0,0.0,2.39,15.6,1.1,10.753
2023-05-12T07:04:00Z,15.0,1.1,7.074,15.6,1.4,16.007,14.2,1.1,2.535,15.0,1.1,7.074
2023-05-13T07:54:00Z,15.0,1.2,8.085,15.6,1.3,14.592,15.6,2.3,5.878,15.0,1.2,8.085
2023-05-14T03:28:30Z,16.0,0.8,11.687,15.6,1.7,12.245,14.6,1.8,3.709,16.0,0.8,11.687
2023-05-14T08:06:30Z,16.0,0.8,10.941,15.2,1.4,16.022,13.6,1.2,4.605,16.0,0.8,10.941
2023-05-15T06:35:00Z,13.6,1.0,9.831,15.2,2.0,9.44,16.8,0.5,2.798,13.6,1.0,9.831
2023-05-16T06:47:00Z,15.0,0.7,13.81,14.6,2.2,8.934,14.6,0.7,4.832,15.0,0.7,13.81
2023-05-17T07:03:30Z,16.6,0.7,5.783,14.4,1.4,16.793,14.8,2.2,4.083,16.6,0.7,5.783
2023-05-18T06:41:00Z,15.6,1.3,11.38,15.0,1.6,14.769,16.0,2.3,3.616,15.6,1.3,11.38
2023-05-19T06:56:00Z,15.6,1.1,8.276,14.6,1.6,15.487,14.8,1.6,6.891,15.6,1.1,8.276
2023-05-20T08:13:00Z,15.6,1.9,10.26,15.2,1.8,17.613,14.4,2.7,3.666,15.6,1.9,10.26
2023-05-21T08:30:30Z,16.4,1.8,10.585,15.4,1.6,13.138,16.6,1.6,4.848,16.4,1.8,10.585
2023-05-22T07:08:30Z,16.0,1.0,6.357,15.8,1.5,7.36,17.6,0.7,4.771,16.0,1.0,6.357
2023-05-23T07:27:00Z,15.0,0.8,5.905,14.8,1.1,14.886,-1.0,0.0,2.448,15.0,0.8,5.905
2023-05-24T06:57:30Z,14.6,0.9,6.591,14.8,1.7,6.984,-1.0,0.0,2.374,14.6,0.9,6.591
2023-05-25T06:48:00Z,16.0,0.8,10.118,13.4,1.1,6.177,14.8,1.5,3.516,16.0,0.8,10.118
2023-05-26T06:46:30Z,16.0,1.1,9.372,15.0,1.3,10.787,15.4,1.6,4.085,16.0,1.1,9.372
2023-05-30T06:29:00Z,13.8,1.0,7.67,14.6,1.6,7.722,13.2,0.4,3.135,13.8,1.0,7.67
2023-05-31T07:04:30Z,15.0,1.6,14.172,14.8,1.4,7.515,14.4,2.0,4.475,15.0,1.6,14.172
