timestamp,steps,distance millimeters,altitude gain millimeters
2025-07-07T02:24:08Z,0,0,0
2025-07-07T02:24:09Z,0,0,0
2025-07-07T02:24:10Z,0,0,0
2025-07-07T02:24:11Z,0,0,0
2025-07-07T02:24:12Z,0,0,0
2025-07-07T02:24:13Z,0,0,0
2025-07-07T02:24:14Z,0,0,0
2025-07-07T02:24:15Z,0,0,0
2025-07-07T02:24:16Z,0,0,0
2025-07-07T02:24:17Z,0,0,0
2025-07-07T02:24:18Z,2,0,0
2025-07-07T02:24:19Z,2,0,0
2025-07-07T02:24:20Z,0,0,0
2025-07-07T02:24:21Z,0,0,0
2025-07-07T02:24:22Z,0,0,0
2025-07-07T02:24:23Z,0,0,0
2025-07-07T02:24:24Z,0,0,0
2025-07-07T02:24:25Z,0,0,0
2025-07-07T02:24:26Z,0,0,0
2025-07-07T02:24:27Z,0,0,0
2025-07-07T02:24:28Z,0,0,0
2025-07-07T02:24:29Z,0,0,0
2025-07-07T02:24:30Z,0,0,0
2025-07-07T02:24:31Z,0,0,0
2025-07-07T02:24:32Z,0,0,0
2025-07-07T02:24:33Z,0,0,0
2025-07-07T02:24:34Z,0,0,0
2025-07-07T02:24:35Z,0,0,0
2025-07-07T02:24:36Z,0,0,0
2025-07-07T02:24:37Z,0,0,0
2025-07-07T02:24:38Z,0,0,0
2025-07-07T02:24:39Z,0,0,0
2025-07-07T02:24:40Z,0,0,0
2025-07-07T02:24:41Z,0,0,0
2025-07-07T02:24:42Z,0,0,0
2025-07-07T02:24:43Z,0,0,0
2025-07-07T02:24:44Z,0,0,0
2025-07-07T02:24:45Z,0,0,0
2025-07-07T02:24:46Z,0,0,0
2025-07-07T02:24:47Z,0,0,0
2025-07-07T02:24:48Z,0,0,0
2025-07-07T02:24:49Z,0,0,0
2025-07-07T02:24:50Z,0,0,0
2025-07-07T02:24:51Z,0,0,0
2025-07-07T02:24:52Z,0,0,0
2025-07-07T02:24:53Z,0,0,0
2025-07-07T02:24:54Z,0,0,0
2025-07-07T02:24:55Z,0,0,0
2025-07-07T02:24:56Z,0,0,0
2025-07-07T02:24:57Z,0,0,0
2025-07-07T02:24:58Z,0,0,0
2025-07-07T02:24:59Z,0,0,0
2025-07-07T02:25:00Z,0,0,0
2025-07-07T02:25:01Z,0,0,0
2025-07-07T02:25:02Z,0,0,0
2025-07-07T02:25:03Z,0,0,0
2025-07-07T02:25:04Z,0,0,0
2025-07-07T02:25:05Z,0,0,0
2025-07-07T02:25:06Z,0,0,0
2025-07-07T02:25:07Z,0,0,0
2025-07-07T02:25:08Z,0,0,0
2025-07-07T02:25:09Z,0,0,0
2025-07-07T02:25:10Z,0,0,0
2025-07-07T02:25:11Z,0,0,0
2025-07-07T02:25:12Z,0,0,0
2025-07-07T02:25:13Z,0,0,0
2025-07-07T02:25:14Z,0,0,0
2025-07-07T02:25:15Z,0,0,0
2025-07-07T02:25:16Z,0,0,0
2025-07-07T02:25:17Z,0,0,0
2025-07-07T02:25:18Z,0,0,0
2025-07-07T02:25:19Z,0,0,0
2025-07-07T02:25:20Z,0,0,0
2025-07-07T02:25:21Z,0,0,0
2025-07-07T02:25:22Z,0,0,0
2025-07-07T02:25:23Z,0,0,0
2025-07-07T02:25:24Z,0,0,0
2025-07-07T02:25:25Z,1,0,0
2025-07-07T02:25:26Z,1,0,0
2025-07-07T02:25:27Z,2,0,0
2025-07-07T02:25:28Z,2,0,0
2025-07-07T02:25:29Z,2,0,0
2025-07-07T02:25:30Z,2,0,0
2025-07-07T02:25:31Z,1,6830,0
2025-07-07T02:25:32Z,2,1510,0
2025-07-07T02:25:33Z,1,760,0
2025-07-07T02:25:34Z,0,0,0
2025-07-07T02:25:35Z,0,0,0
2025-07-07T02:25:36Z,0,0,0
2025-07-07T02:25:37Z,0,0,0
2025-07-07T02:25:38Z,0,0,0
2025-07-07T02:25:39Z,0,0,0
