timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds
2023-04-14T02:50:00Z,53.29,0.0
2023-04-14T03:00:00Z,30.34,0.0
2023-04-14T03:05:00Z,31.515,0.0
2023-04-14T03:10:00Z,35.838,0.0
2023-04-14T03:15:00Z,38.003,0.0
2023-04-14T03:20:00Z,38.148,0.0
2023-04-14T03:25:00Z,38.266,0.0
2023-04-14T03:30:00Z,34.578,0.0
2023-04-14T03:35:00Z,32.292,0.0
2023-04-14T03:40:00Z,35.314,0.0
2023-04-14T03:45:00Z,35.55,0.0
2023-04-14T03:50:00Z,36.983,0.0
2023-04-14T03:55:00Z,39.416,0.0
2023-04-14T04:00:00Z,40.513,0.0
2023-04-14T04:05:00Z,39.516,0.0
2023-04-14T04:10:00Z,40.593,0.0
2023-04-14T04:15:00Z,39.593,0.0
2023-04-14T04:20:00Z,50.609,0.0
2023-04-14T04:25:00Z,57.161,0.0
2023-04-14T04:30:00Z,48.336,0.0
2023-04-14T04:35:00Z,38.464,0.0
2023-04-14T04:40:00Z,59.343,0.0
2023-04-14T04:45:00Z,53.888,0.0
2023-04-14T04:50:00Z,41.715,0.0
2023-04-14T04:55:00Z,56.82,0.0
2023-04-14T05:00:00Z,59.237,0.0
2023-04-14T05:05:00Z,57.208,0.0
2023-04-14T05:10:00Z,37.561,0.0
2023-04-14T05:15:00Z,39.374,0.0
2023-04-14T05:20:00Z,39.772,0.0
2023-04-14T05:25:00Z,42.373,0.0
2023-04-14T05:30:00Z,51.073,0.0
2023-04-14T05:35:00Z,44.634,0.0
2023-04-14T06:00:00Z,72.144,0.0
2023-04-14T06:05:00Z,49.691,0.0
2023-04-14T06:10:00Z,39.767,0.0
2023-04-14T06:15:00Z,41.587,0.0
2023-04-14T06:20:00Z,32.21,0.0
2023-04-14T06:25:00Z,56.542,0.0
2023-04-14T06:30:00Z,44.863,0.0
2023-04-14T06:35:00Z,57.058,0.0
2023-04-14T06:40:00Z,46.702,0.0
2023-04-14T06:45:00Z,44.541,0.0
2023-04-14T06:50:00Z,48.374,0.0
2023-04-14T06:55:00Z,63.33,0.0
2023-04-14T07:00:00Z,50.347,0.0
2023-04-14T07:05:00Z,53.863,0.0
2023-04-14T07:10:00Z,51.016,0.0
2023-04-15T00:00:00Z,39.259,0.0
2023-04-15T00:05:00Z,47.18,0.0
2023-04-15T00:10:00Z,49.641,0.0
2023-04-15T00:15:00Z,43.277,0.0
2023-04-15T00:20:00Z,44.455,0.0
2023-04-15T00:25:00Z,43.135,0.0
2023-04-15T00:40:00Z,38.638,0.0
2023-04-15T00:45:00Z,40.24,0.0
2023-04-15T00:50:00Z,36.889,0.0
2023-04-15T00:55:00Z,30.036,0.0
2023-04-15T01:00:00Z,44.83,0.0
2023-04-15T01:05:00Z,16.43,0.0
2023-04-15T01:10:00Z,22.186,0.0
2023-04-15T01:15:00Z,21.204,0.0
2023-04-15T01:20:00Z,19.637,0.0
2023-04-15T01:25:00Z,19.936,0.0
2023-04-15T01:30:00Z,25.395,0.0
2023-04-15T01:35:00Z,25.757,0.0
2023-04-15T01:40:00Z,26.498,0.0
2023-04-15T01:45:00Z,31.622,0.0
2023-04-15T01:50:00Z,34.17,0.0
2023-04-15T01:55:00Z,31.184,0.0
2023-04-15T02:00:00Z,38.762,0.0
2023-04-15T02:05:00Z,30.656,0.0
2023-04-15T02:10:00Z,37.653,0.0
2023-04-15T02:15:00Z,43.598,0.0
2023-04-15T02:20:00Z,39.647,0.0
2023-04-15T02:25:00Z,40.701,0.0
2023-04-15T02:30:00Z,40.135,0.0
2023-04-15T02:35:00Z,41.323,0.0
2023-04-15T02:40:00Z,35.517,0.0
2023-04-15T02:45:00Z,36.623,0.0
2023-04-15T02:50:00Z,47.041,0.0
2023-04-15T02:55:00Z,29.076,0.0
2023-04-15T03:00:00Z,18.395,0.0
2023-04-15T03:05:00Z,22.71,0.0
2023-04-15T03:10:00Z,27.704,0.0
2023-04-15T03:15:00Z,35.756,0.0
2023-04-15T03:20:00Z,28.814,0.0
2023-04-15T03:25:00Z,31.973,0.0
2023-04-15T03:30:00Z,22.451,0.0
2023-04-15T03:35:00Z,50.254,0.0
2023-04-15T03:40:00Z,59.476,0.0
2023-04-15T03:45:00Z,52.957,0.0
2023-04-15T03:50:00Z,56.767,0.0
2023-04-15T03:55:00Z,55.6,0.0
2023-04-15T04:00:00Z,52.552,0.0
2023-04-15T04:05:00Z,55.771,0.0
2023-04-15T04:10:00Z,61.148,0.0
2023-04-15T04:15:00Z,53.284,0.0
2023-04-15T04:20:00Z,55.217,0.0
2023-04-15T04:25:00Z,59.213,0.0
2023-04-15T04:30:00Z,58.853,0.0
2023-04-15T04:35:00Z,65.527,0.0
