timestamp,beats per minute
2023-04-23T00:00:04Z,72.0
2023-04-23T00:00:19Z,72.0
2023-04-23T00:00:29Z,71.0
2023-04-23T00:00:39Z,72.0
2023-04-23T00:00:49Z,73.0
2023-04-23T00:00:54Z,73.0
2023-04-23T00:00:59Z,69.0
2023-04-23T00:01:04Z,68.0
2023-04-23T00:01:19Z,68.0
2023-04-23T00:01:24Z,69.0
2023-04-23T00:01:29Z,70.0
2023-04-23T00:01:39Z,71.0
2023-04-23T00:01:49Z,74.0
2023-04-23T00:01:54Z,75.0
2023-04-23T00:02:09Z,74.0
2023-04-23T00:02:19Z,73.0
2023-04-23T00:02:37Z,72.0
2023-04-23T00:02:42Z,73.0
2023-04-23T00:02:57Z,74.0
2023-04-23T00:03:02Z,71.0
2023-04-23T00:03:07Z,67.0
2023-04-23T00:03:17Z,67.0
2023-04-23T00:03:27Z,68.0
2023-04-23T00:03:32Z,69.0
2023-04-23T00:03:37Z,71.0
2023-04-23T00:03:42Z,73.0
2023-04-23T00:03:47Z,74.0
2023-04-23T00:03:52Z,77.0
2023-04-23T00:03:57Z,83.0
2023-04-23T00:04:02Z,85.0
2023-04-23T00:04:07Z,86.0
2023-04-23T00:04:12Z,87.0
2023-04-23T00:04:17Z,85.0
2023-04-23T00:04:32Z,87.0
2023-04-23T00:04:42Z,88.0
2023-04-23T00:04:47Z,87.0
2023-04-23T00:04:52Z,85.0
2023-04-23T00:04:57Z,76.0
2023-04-23T00:05:02Z,73.0
2023-04-23T00:05:07Z,76.0
2023-04-23T00:05:12Z,75.0
2023-04-23T00:05:27Z,76.0
2023-04-23T00:05:32Z,77.0
2023-04-23T00:05:37Z,78.0
2023-04-23T00:05:47Z,82.0
2023-04-23T00:05:57Z,72.0
2023-04-23T00:06:02Z,71.0
2023-04-23T00:06:17Z,69.0
2023-04-23T00:06:27Z,70.0
2023-04-23T00:06:32Z,68.0
2023-04-23T00:06:37Z,67.0
2023-04-23T00:06:47Z,68.0
2023-04-23T00:06:52Z,70.0
2023-04-23T00:06:57Z,72.0
2023-04-23T00:07:02Z,71.0
2023-04-23T00:07:07Z,72.0
2023-04-23T00:07:17Z,74.0
2023-04-23T00:07:32Z,74.0
2023-04-23T00:07:47Z,75.0
2023-04-23T00:07:52Z,77.0
2023-04-23T00:08:02Z,78.0
2023-04-23T00:08:07Z,79.0
2023-04-23T00:08:12Z,80.0
2023-04-23T00:08:17Z,79.0
2023-04-23T00:08:22Z,78.0
2023-04-23T00:08:32Z,79.0
2023-04-23T00:08:42Z,78.0
2023-04-23T00:08:47Z,77.0
2023-04-23T00:08:52Z,77.0
2023-04-23T00:08:57Z,79.0
2023-04-23T00:09:07Z,78.0
2023-04-23T00:09:12Z,74.0
2023-04-23T00:09:17Z,73.0
2023-04-23T00:09:32Z,72.0
2023-04-23T00:09:37Z,70.0
2023-04-23T00:09:42Z,66.0
2023-04-23T00:09:47Z,65.0
2023-04-23T00:09:52Z,65.0
2023-04-23T00:10:07Z,66.0
2023-04-23T00:10:22Z,67.0
2023-04-23T00:10:32Z,68.0
2023-04-23T00:10:37Z,70.0
2023-04-23T00:10:42Z,71.0
2023-04-23T00:10:47Z,72.0
2023-04-23T00:10:57Z,72.0
2023-04-23T00:11:02Z,73.0
2023-04-23T00:11:07Z,67.0
2023-04-23T00:11:12Z,63.0
2023-04-23T00:11:22Z,62.0
2023-04-23T00:11:27Z,62.0
2023-04-23T00:11:42Z,64.0
2023-04-23T00:11:47Z,65.0
2023-04-23T00:11:57Z,67.0
2023-04-23T00:12:02Z,68.0
2023-04-23T00:12:07Z,68.0
2023-04-23T00:12:12Z,68.0
2023-04-23T00:12:22Z,69.0
2023-04-23T00:12:37Z,69.0
2023-04-23T00:12:47Z,71.0
2023-04-23T00:12:52Z,72.0
2023-04-23T00:12:57Z,73.0
2023-04-23T00:13:02Z,76.0
2023-04-23T00:13:07Z,78.0
2023-04-23T00:13:17Z,77.0
2023-04-23T00:13:22Z,76.0
2023-04-23T00:13:27Z,70.0
2023-04-23T00:13:32Z,71.0
2023-04-23T00:13:37Z,67.0
2023-04-23T00:13:42Z,68.0
2023-04-23T00:13:47Z,70.0
2023-04-23T00:14:02Z,66.0
2023-04-23T00:14:07Z,63.0
2023-04-23T00:14:12Z,59.0
2023-04-23T00:14:17Z,60.0
2023-04-23T00:14:22Z,61.0
2023-04-23T00:14:27Z,63.0
2023-04-23T00:14:32Z,65.0
2023-04-23T00:14:47Z,66.0
2023-04-23T00:14:53Z,67.0
2023-04-23T00:14:58Z,69.0
2023-04-23T00:15:03Z,69.0
2023-04-23T00:15:13Z,70.0
2023-04-23T00:15:18Z,71.0
2023-04-23T00:15:23Z,73.0
2023-04-23T00:15:28Z,75.0
2023-04-23T00:15:33Z,70.0
2023-04-23T00:15:38Z,64.0
2023-04-23T00:15:43Z,61.0
2023-04-23T00:15:53Z,60.0
2023-04-23T00:15:58Z,59.0
2023-04-23T00:16:13Z,59.0
2023-04-23T00:16:28Z,60.0
2023-04-23T00:16:38Z,61.0
2023-04-23T00:16:43Z,59.0
2023-04-23T00:16:53Z,60.0
2023-04-23T00:16:58Z,61.0
2023-04-23T00:17:03Z,61.0
2023-04-23T00:17:08Z,62.0
2023-04-23T00:17:13Z,64.0
2023-04-23T00:17:18Z,65.0
2023-04-23T00:17:23Z,65.0
2023-04-23T00:17:38Z,66.0
2023-04-23T00:17:53Z,67.0
2023-04-23T00:17:58Z,68.0
2023-04-23T00:18:03Z,69.0
2023-04-23T00:18:08Z,71.0
2023-04-23T00:18:13Z,72.0
2023-04-23T00:18:18Z,72.0
2023-04-23T00:18:23Z,73.0
2023-04-23T00:18:27Z,79.0
2023-04-23T00:18:34Z,79.0
2023-04-23T00:18:44Z,80.0
2023-04-23T00:18:49Z,80.0
2023-04-23T00:18:54Z,82.0
2023-04-23T00:18:59Z,83.0
2023-04-23T00:19:04Z,84.0
2023-04-23T00:19:09Z,82.0
2023-04-23T00:19:14Z,81.0
2023-04-23T00:19:19Z,80.0
2023-04-23T00:19:29Z,78.0
2023-04-23T00:19:39Z,79.0
2023-04-23T00:19:49Z,76.0
2023-04-23T00:19:54Z,74.0
2023-04-23T00:20:09Z,74.0
2023-04-23T00:20:14Z,75.0
2023-04-23T00:20:29Z,74.0
2023-04-23T00:20:39Z,76.0
2023-04-23T00:20:44Z,77.0
2023-04-23T00:20:49Z,79.0
2023-04-23T00:20:54Z,81.0
2023-04-23T00:21:04Z,80.0
2023-04-23T00:21:14Z,79.0
2023-04-23T00:21:19Z,78.0
2023-04-23T00:21:34Z,79.0
2023-04-23T00:21:44Z,78.0
2023-04-23T00:21:49Z,80.0
2023-04-23T00:22:04Z,82.0
2023-04-23T00:22:09Z,85.0
2023-04-23T00:22:14Z,87.0
2023-04-23T00:22:19Z,91.0
2023-04-23T00:22:24Z,90.0
2023-04-23T00:22:29Z,87.0
2023-04-23T00:22:34Z,85.0
2023-04-23T00:22:39Z,84.0
2023-04-23T00:22:44Z,82.0
2023-04-23T00:22:49Z,81.0
2023-04-23T00:23:04Z,80.0
2023-04-23T00:23:09Z,78.0
2023-04-23T00:23:14Z,76.0
2023-04-23T00:23:29Z,75.0
2023-04-23T00:23:34Z,73.0
2023-04-23T00:23:44Z,74.0
2023-04-23T00:23:54Z,75.0
2023-04-23T00:23:59Z,76.0
2023-04-23T00:24:04Z,78.0
2023-04-23T00:24:14Z,76.0
2023-04-23T00:24:19Z,75.0
2023-04-23T00:24:24Z,73.0
2023-04-23T00:24:29Z,70.0
2023-04-23T00:24:34Z,71.0
2023-04-23T00:24:39Z,72.0
2023-04-23T00:24:49Z,73.0
2023-04-23T00:25:04Z,75.0
2023-04-23T00:25:09Z,77.0
2023-04-23T00:25:14Z,77.0
