timestamp,breaths per minute
2023-04-13T00:00:00Z,14.4
2023-04-14T00:00:00Z,15.4
2023-04-15T00:00:00Z,13.6
2023-04-16T00:00:00Z,15.8
2023-04-17T00:00:00Z,14.0
2023-04-18T00:00:00Z,14.6
2023-04-19T00:00:00Z,16.6
2023-04-20T00:00:00Z,15.0
2023-04-21T00:00:00Z,17.2
2023-04-22T00:00:00Z,15.8
2023-04-23T00:00:00Z,17.0
2023-04-24T00:00:00Z,14.4
2023-04-25T00:00:00Z,13.0
2023-04-26T00:00:00Z,15.6
2023-04-27T00:00:00Z,17.0
2023-04-28T00:00:00Z,15.6
2023-04-29T00:00:00Z,16.2
2023-04-30T00:00:00Z,14.6
2023-05-01T00:00:00Z,16.8
2023-05-02T00:00:00Z,16.4
2023-05-03T00:00:00Z,16.2
2023-05-04T00:00:00Z,15.6
2023-05-05T00:00:00Z,15.8
2023-05-06T00:00:00Z,15.2
2023-05-07T00:00:00Z,15.6
2023-05-08T00:00:00Z,18.0
2023-05-09T00:00:00Z,17.4
2023-05-10T00:00:00Z,15.6
2023-05-12T00:00:00Z,15.0
2023-05-13T00:00:00Z,15.0
2023-05-14T00:00:00Z,16.0
2023-05-15T00:00:00Z,13.6
2023-05-16T00:00:00Z,15.0
2023-05-17T00:00:00Z,16.6
2023-05-18T00:00:00Z,15.6
2023-05-19T00:00:00Z,15.6
2023-05-20T00:00:00Z,15.6
2023-05-21T00:00:00Z,16.4
2023-05-22T00:00:00Z,16.0
2023-05-23T00:00:00Z,15.0
2023-05-24T00:00:00Z,14.6
2023-05-25T00:00:00Z,16.0
2023-05-26T00:00:00Z,16.0
2023-05-30T00:00:00Z,13.8
2023-05-31T00:00:00Z,15.0
2023-06-01T00:00:00Z,14.4
2023-06-02T00:00:00Z,14.6
2023-06-03T00:00:00Z,15.8
2023-06-04T00:00:00Z,14.8
2023-06-05T00:00:00Z,15.8
2023-06-06T00:00:00Z,15.0
2023-06-07T00:00:00Z,14.6
2023-06-08T00:00:00Z,14.2
2023-06-09T00:00:00Z,15.0
2023-06-10T00:00:00Z,14.8
2023-06-11T00:00:00Z,15.0
2023-06-12T00:00:00Z,15.0
2023-06-13T00:00:00Z,14.4
2023-06-14T00:00:00Z,15.8
2023-06-15T00:00:00Z,15.4
2023-06-16T00:00:00Z,15.6
2023-06-17T00:00:00Z,14.4
2023-06-18T00:00:00Z,15.2
2023-06-19T00:00:00Z,15.4
2023-06-20T00:00:00Z,14.8
2023-06-21T00:00:00Z,15.0
2023-06-22T00:00:00Z,15.0
2023-06-23T00:00:00Z,14.6
2023-06-24T00:00:00Z,13.6
2023-06-25T00:00:00Z,14.0
2023-06-26T00:00:00Z,15.0
2023-06-27T00:00:00Z,15.2
2023-06-28T00:00:00Z,14.6
2023-06-29T00:00:00Z,14.0
2023-06-30T00:00:00Z,13.2
2023-07-01T00:00:00Z,16.6
2023-07-03T00:00:00Z,16.6
2023-07-04T00:00:00Z,13.6
2023-07-05T00:00:00Z,15.4
2023-07-08T00:00:00Z,13.6
2023-07-09T00:00:00Z,14.2
2023-07-10T00:00:00Z,13.8
2023-07-11T00:00:00Z,14.6
2023-07-12T00:00:00Z,14.4
2023-07-14T00:00:00Z,15.4
2023-07-15T00:00:00Z,15.0
2023-07-16T00:00:00Z,16.0
2023-07-18T00:00:00Z,14.6
2023-07-19T00:00:00Z,15.4
2023-07-20T00:00:00Z,15.8
