timestamp,beats per minute
2023-06-17T00:00:01Z,72.0
2023-06-17T00:00:16Z,71.0
2023-06-17T00:00:21Z,70.0
2023-06-17T00:00:26Z,68.0
2023-06-17T00:00:36Z,70.0
2023-06-17T00:00:41Z,72.0
2023-06-17T00:00:51Z,74.0
2023-06-17T00:00:56Z,72.0
2023-06-17T00:01:06Z,74.0
2023-06-17T00:01:16Z,75.0
2023-06-17T00:01:21Z,76.0
2023-06-17T00:01:26Z,78.0
2023-06-17T00:01:31Z,77.0
2023-06-17T00:01:36Z,76.0
2023-06-17T00:01:41Z,75.0
2023-06-17T00:01:46Z,75.0
2023-06-17T00:01:56Z,76.0
2023-06-17T00:02:06Z,77.0
2023-06-17T00:02:11Z,76.0
2023-06-17T00:02:16Z,77.0
2023-06-17T00:02:31Z,77.0
2023-06-17T00:02:36Z,76.0
2023-06-17T00:02:51Z,76.0
2023-06-17T00:03:06Z,74.0
2023-06-17T00:03:16Z,72.0
2023-06-17T00:03:26Z,71.0
2023-06-17T00:03:41Z,70.0
2023-06-17T00:03:56Z,70.0
2023-06-17T00:04:06Z,71.0
2023-06-17T00:04:11Z,72.0
2023-06-17T00:04:16Z,71.0
2023-06-17T00:04:26Z,72.0
2023-06-17T00:04:31Z,73.0
2023-06-17T00:04:41Z,75.0
2023-06-17T00:04:46Z,76.0
2023-06-17T00:04:56Z,77.0
2023-06-17T00:05:11Z,78.0
2023-06-17T00:05:21Z,77.0
2023-06-17T00:05:31Z,76.0
2023-06-17T00:05:46Z,75.0
2023-06-17T00:05:51Z,75.0
2023-06-17T00:05:56Z,72.0
2023-06-17T00:06:01Z,71.0
2023-06-17T00:06:06Z,71.0
2023-06-17T00:06:16Z,73.0
2023-06-17T00:06:26Z,72.0
2023-06-17T00:06:36Z,70.0
2023-06-17T00:06:41Z,70.0
2023-06-17T00:06:47Z,71.0
2023-06-17T00:06:57Z,73.0
2023-06-17T00:07:02Z,72.0
2023-06-17T00:07:07Z,74.0
2023-06-17T00:07:17Z,75.0
2023-06-17T00:07:22Z,76.0
2023-06-17T00:07:27Z,77.0
2023-06-17T00:07:37Z,78.0
2023-06-17T00:07:47Z,80.0
2023-06-17T00:08:06Z,80.0
2023-06-17T00:08:11Z,81.0
2023-06-17T00:08:21Z,80.0
2023-06-17T00:08:26Z,78.0
2023-06-17T00:08:36Z,80.0
2023-06-17T00:08:41Z,83.0
2023-06-17T00:08:46Z,82.0
2023-06-17T00:09:01Z,79.0
2023-06-17T00:09:11Z,78.0
2023-06-17T00:09:21Z,79.0
2023-06-17T00:09:26Z,80.0
2023-06-17T00:09:31Z,79.0
2023-06-17T00:09:36Z,78.0
2023-06-17T00:09:41Z,76.0
2023-06-17T00:09:46Z,74.0
2023-06-17T00:09:56Z,75.0
2023-06-17T00:10:01Z,74.0
2023-06-17T00:10:11Z,76.0
2023-06-17T00:10:16Z,77.0
2023-06-17T00:10:21Z,75.0
2023-06-17T00:10:26Z,75.0
2023-06-17T00:10:31Z,75.0
2023-06-17T00:10:36Z,74.0
2023-06-17T00:10:41Z,74.0
2023-06-17T00:10:46Z,74.0
2023-06-17T00:10:51Z,76.0
2023-06-17T00:10:56Z,77.0
2023-06-17T00:11:01Z,78.0
2023-06-17T00:11:11Z,77.0
2023-06-17T00:11:16Z,79.0
