timestamp,nightly temperature celsius,baseline temperature celsius,relative nightly stddev 30d celsius
2023-04-13T00:00:00Z,32.506067415730335,NaN,NaN
2023-04-14T00:00:00Z,32.69701149425288,NaN,NaN
2023-04-15T00:00:00Z,32.980353200883,32.69701149425288,0.23863820937309255
2023-04-16T00:00:00Z,32.72606924643584,32.71154037034436,0.19484922756706058
2023-04-17T00:00:00Z,32.396941176470584,32.69701149425288,0.22430339566965493
2023-04-18T00:00:00Z,32.051371571072316,32.60153945499161,0.319764583278303
2023-04-19T00:00:00Z,32.84158163265306,32.69701149425288,0.3107475515156543
2023-04-20T00:00:00Z,32.84195652173913,32.71154037034436,0.3001537441954813
2023-04-21T00:00:00Z,31.74344660194175,32.69701149425288,0.4076699776580225
2023-04-22T00:00:00Z,32.35548523206751,32.60153945499161,0.3883708575062881
2023-04-23T00:00:00Z,32.96343873517787,32.69701149425288,0.39256796496555646
2023-04-24T00:00:00Z,32.77859007832898,32.71154037034436,0.379828927626155
2023-04-25T00:00:00Z,33.13805555555555,32.72606924643584,0.3959323178108632
2023-04-26T00:00:00Z,32.65526932084309,32.71154037034436,0.38053729112058987
2023-04-27T00:00:00Z,32.348175182481754,32.69701149425288,0.3733360220044863
2023-04-28T00:00:00Z,32.782442748091604,32.71154037034436,0.3634997767999295
2023-04-29T00:00:00Z,31.973943661971834,32.69701149425288,0.3845630695740141
2023-04-30T00:00:00Z,32.4943661971831,32.67614040754798,0.3735684315084978
2023-05-01T00:00:00Z,32.7875,32.69701149425288,0.3664310556711203
2023-05-02T00:00:00Z,32.297078651685396,32.67614040754798,0.36231187353768785
2023-05-03T00:00:00Z,32.09679487179487,32.65526932084309,0.367800950925959
2023-05-04T00:00:00Z,33.1860788863109,32.67614040754798,0.3840395969046506
2023-05-05T00:00:00Z,32.697994987468675,32.69701149425288,0.3760905467053854
2023-05-06T00:00:00Z,33.114250614250615,32.697503240860776,0.38364956108065096
2023-05-07T00:00:00Z,32.01502590673575,32.69701149425288,0.39350730110472787
2023-05-08T00:00:00Z,32.37283105022831,32.67614040754798,0.38766646461099663
2023-05-09T00:00:00Z,32.20950323974082,32.65526932084309,0.38644674450421085
2023-05-10T00:00:00Z,31.545762711864406,32.58066836828671,0.42469421159400583
2023-05-12T00:00:00Z,31.569036697247707,32.506067415730335,0.45298457535857833
2023-05-13T00:00:00Z,31.896685082872928,32.4943661971831,0.46608508976901014
2023-05-14T00:00:00Z,31.38102345415778,32.396941176470584,0.5053494090471863
2023-05-15T00:00:00Z,32.338954869358666,32.37283105022831,0.4939517044673209
2023-05-16T00:00:00Z,32.29801762114537,32.35548523206751,0.4902412983265391
2023-05-17T00:00:00Z,32.4632318501171,32.35548523206751,0.490452370172341
2023-05-18T00:00:00Z,32.316763005780345,32.35548523206751,0.4864156165043216
2023-05-19T00:00:00Z,32.76054054054054,32.35548523206751,0.4839949964045955
2023-05-20T00:00:00Z,33.099823633156966,32.35548523206751,0.49477008337274564
2023-05-21T00:00:00Z,31.779261862917398,32.35548523206751,0.4931074771934223
2023-05-22T00:00:00Z,32.60528967254408,32.37283105022831,0.4944099250591361
2023-05-23T00:00:00Z,32.09531914893617,32.348175182481754,0.48607866792684373
2023-05-24T00:00:00Z,31.914441416893734,32.338954869358666,0.4874267413818764
2023-05-25T00:00:00Z,32.33278301886793,32.33278301886793,0.46344649892923195
2023-05-26T00:00:00Z,31.56691542288557,32.316763005780345,0.47954304593664177
2023-05-30T00:00:00Z,32.4334693877551,32.30739031346286,0.4926253445805032
2023-05-31T00:00:00Z,32.41924882629108,32.30739031346286,0.48251920350400757
2023-06-01T00:00:00Z,31.60141129032258,32.30739031346286,0.4994732659057677
2023-06-02T00:00:00Z,32.61939393939394,32.32477301232414,0.5041814732787747
2023-06-03T00:00:00Z,32.67188679245283,32.32477301232414,0.47547082489876963
2023-06-04T00:00:00Z,32.212220309810675,32.30739031346286,0.4660138388151759
2023-06-05T00:00:00Z,33.10071770334928,32.30739031346286,0.46497761003991744
2023-06-06T00:00:00Z,32.87411444141689,32.32477301232414,0.480383489846213
2023-06-07T00:00:00Z,32.80661764705882,32.32477301232414,0.4922364612107454
2023-06-08T00:00:00Z,31.493406593406593,32.32477301232414,0.5150226292599274
2023-06-09T00:00:00Z,31.34163179916318,32.32477301232414,0.5274094972241635
2023-06-10T00:00:00Z,31.31687242798354,32.316763005780345,0.5462376796489431
2023-06-11T00:00:00Z,32.6436170212766,32.33278301886793,0.5378345738705677
2023-06-12T00:00:00Z,32.4810502283105,32.338954869358666,0.5353891317190937
2023-06-13T00:00:00Z,32.21216730038023,32.338954869358666,0.5061157727767279
2023-06-14T00:00:00Z,31.65901328273245,32.33278301886793,0.5202460342070969
2023-06-15T00:00:00Z,32.52314225053079,32.41924882629108,0.5226162395469689
2023-06-16T00:00:00Z,32.17169811320755,32.33278301886793,0.5215240850981876
2023-06-17T00:00:00Z,32.434400000000004,32.41924882629108,0.522496465838939
2023-06-18T00:00:00Z,32.740595611285265,32.41924882629108,0.5217833817363337
2023-06-19T00:00:00Z,32.149119373776905,32.33278301886793,0.4946409495799426
2023-06-20T00:00:00Z,32.06743119266055,32.33278301886793,0.4876086527128513
2023-06-21T00:00:00Z,32.358105263157896,32.33278301886793,0.48278887331653153
2023-06-22T00:00:00Z,31.260225140712944,32.33278301886793,0.5173383249836041
2023-06-23T00:00:00Z,32.2836,32.33278301886793,0.5143649809014827
2023-06-24T00:00:00Z,32.77045908183633,32.358105263157896,0.5250420910752746
