timestamp,beats per minute
2023-06-21T00:00:08Z,78.0
2023-06-21T00:00:23Z,78.0
2023-06-21T00:00:28Z,77.0
2023-06-21T00:00:43Z,77.0
2023-06-21T00:00:58Z,78.0
2023-06-21T00:01:08Z,77.0
2023-06-21T00:01:13Z,76.0
2023-06-21T00:01:18Z,74.0
2023-06-21T00:01:23Z,73.0
2023-06-21T00:01:28Z,74.0
2023-06-21T00:01:33Z,75.0
2023-06-21T00:01:38Z,76.0
2023-06-21T00:01:43Z,78.0
2023-06-21T00:01:53Z,79.0
2023-06-21T00:01:58Z,79.0
2023-06-21T00:02:03Z,78.0
2023-06-21T00:02:18Z,78.0
2023-06-21T00:02:23Z,77.0
2023-06-21T00:02:28Z,81.0
2023-06-21T00:02:33Z,87.0
2023-06-21T00:02:38Z,88.0
2023-06-21T00:02:43Z,86.0
2023-06-21T00:02:48Z,81.0
2023-06-21T00:02:53Z,79.0
2023-06-21T00:03:03Z,80.0
2023-06-21T00:03:18Z,79.0
2023-06-21T00:03:23Z,79.0
2023-06-21T00:03:28Z,80.0
2023-06-21T00:03:43Z,81.0
2023-06-21T00:03:48Z,86.0
2023-06-21T00:03:53Z,88.0
2023-06-21T00:03:58Z,87.0
2023-06-21T00:04:03Z,83.0
2023-06-21T00:04:08Z,81.0
2023-06-21T00:04:18Z,82.0
2023-06-21T00:04:23Z,84.0
2023-06-21T00:04:28Z,85.0
2023-06-21T00:04:33Z,85.0
2023-06-21T00:04:48Z,85.0
2023-06-21T00:05:03Z,86.0
2023-06-21T00:05:18Z,86.0
2023-06-21T00:05:23Z,86.0
2023-06-21T00:05:28Z,85.0
2023-06-21T00:05:38Z,84.0
2023-06-21T00:05:43Z,83.0
2023-06-21T00:05:58Z,84.0
2023-06-21T00:06:13Z,84.0
2023-06-21T00:06:23Z,84.0
2023-06-21T00:06:28Z,85.0
2023-06-21T00:06:38Z,78.0
2023-06-21T00:06:48Z,79.0
2023-06-21T00:06:53Z,81.0
2023-06-21T00:06:58Z,82.0
2023-06-21T00:07:03Z,83.0
2023-06-21T00:07:18Z,83.0
2023-06-21T00:07:28Z,82.0
2023-06-21T00:07:33Z,81.0
2023-06-21T00:07:38Z,79.0
2023-06-21T00:07:43Z,78.0
2023-06-21T00:07:48Z,77.0
2023-06-21T00:07:53Z,76.0
2023-06-21T00:08:03Z,79.0
2023-06-21T00:08:08Z,80.0
2023-06-21T00:08:14Z,80.0
2023-06-21T00:08:29Z,80.0
2023-06-21T00:08:34Z,79.0
2023-06-21T00:08:39Z,72.0
2023-06-21T00:08:44Z,71.0
2023-06-21T00:08:59Z,71.0
2023-06-21T00:09:04Z,70.0
2023-06-21T00:09:19Z,71.0
2023-06-21T00:09:24Z,73.0
2023-06-21T00:09:29Z,75.0
2023-06-21T00:09:34Z,73.0
2023-06-21T00:09:39Z,70.0
2023-06-21T00:09:44Z,69.0
2023-06-21T00:09:54Z,70.0
2023-06-21T00:09:59Z,72.0
2023-06-21T00:10:04Z,77.0
2023-06-21T00:10:09Z,76.0
2023-06-21T00:10:14Z,73.0
2023-06-21T00:10:29Z,73.0
2023-06-21T00:10:44Z,73.0
2023-06-21T00:10:54Z,74.0
2023-06-21T00:10:59Z,75.0
2023-06-21T00:11:04Z,76.0
2023-06-21T00:11:09Z,77.0
2023-06-21T00:11:14Z,78.0
2023-06-21T00:11:24Z,77.0
2023-06-21T00:11:34Z,78.0
2023-06-21T00:11:39Z,78.0
2023-06-21T00:11:54Z,81.0
2023-06-21T00:11:59Z,83.0
2023-06-21T00:12:09Z,82.0
2023-06-21T00:12:14Z,81.0
2023-06-21T00:12:24Z,82.0
2023-06-21T00:12:29Z,80.0
2023-06-21T00:12:44Z,78.0
2023-06-21T00:12:49Z,79.0
2023-06-21T00:13:04Z,80.0
2023-06-21T00:13:09Z,81.0
2023-06-21T00:13:14Z,80.0
2023-06-21T00:13:29Z,79.0
2023-06-21T00:13:39Z,80.0
2023-06-21T00:13:54Z,80.0
2023-06-21T00:13:59Z,81.0
2023-06-21T00:14:04Z,79.0
2023-06-21T00:14:19Z,79.0
2023-06-21T00:14:29Z,78.0
2023-06-21T00:14:39Z,79.0
2023-06-21T00:14:44Z,77.0
2023-06-21T00:14:49Z,76.0
2023-06-21T00:15:04Z,76.0
2023-06-21T00:15:19Z,77.0
2023-06-21T00:15:34Z,78.0
2023-06-21T00:15:39Z,71.0
2023-06-21T00:15:44Z,70.0
2023-06-21T00:15:49Z,70.0
2023-06-21T00:15:54Z,71.0
2023-06-21T00:16:04Z,72.0
2023-06-21T00:16:09Z,73.0
2023-06-21T00:16:14Z,74.0
2023-06-21T00:16:19Z,76.0
2023-06-21T00:16:24Z,78.0
2023-06-21T00:16:39Z,78.0
2023-06-21T00:16:49Z,79.0
2023-06-21T00:16:54Z,78.0
2023-06-21T00:17:04Z,79.0
2023-06-21T00:17:09Z,83.0
2023-06-21T00:17:14Z,88.0
2023-06-21T00:17:19Z,89.0
2023-06-21T00:17:29Z,90.0
2023-06-21T00:17:44Z,91.0
