timestamp,heart rate zone,total minutes
2023-06-01T02:51:00Z,fat burn,1
2023-06-01T14:52:00Z,fat burn,1
2023-06-01T17:54:00Z,fat burn,1
2023-06-01T17:55:00Z,fat burn,1
2023-06-01T17:56:00Z,fat burn,1
2023-06-01T17:58:00Z,fat burn,1
2023-06-01T17:59:00Z,fat burn,1
2023-06-01T18:00:00Z,fat burn,1
2023-06-01T18:03:00Z,fat burn,1
2023-06-01T18:04:00Z,cardio,2
2023-06-01T18:05:00Z,fat burn,1
2023-06-01T18:06:00Z,fat burn,1
2023-06-01T18:11:00Z,fat burn,1
2023-06-01T18:12:00Z,fat burn,1
2023-06-01T18:13:00Z,fat burn,1
2023-06-01T18:16:00Z,fat burn,1
2023-06-01T18:17:00Z,fat burn,1
2023-06-01T18:19:00Z,fat burn,1
2023-06-01T18:20:00Z,cardio,2
2023-06-01T18:21:00Z,fat burn,1
2023-06-01T18:23:00Z,cardio,2
2023-06-01T18:24:00Z,cardio,2
2023-06-01T18:25:00Z,cardio,2
2023-06-01T18:26:00Z,cardio,2
2023-06-01T18:27:00Z,cardio,2
2023-06-01T18:28:00Z,cardio,2
2023-06-01T18:29:00Z,cardio,2
2023-06-01T18:30:00Z,cardio,2
2023-06-01T18:31:00Z,cardio,2
2023-06-01T18:32:00Z,cardio,2
2023-06-01T18:33:00Z,peak,2
2023-06-01T18:34:00Z,cardio,2
2023-06-01T18:35:00Z,cardio,2
2023-06-01T18:36:00Z,cardio,2
2023-06-01T18:37:00Z,cardio,2
2023-06-01T18:38:00Z,fat burn,1
2023-06-01T18:40:00Z,fat burn,1
2023-06-01T18:41:00Z,cardio,2
2023-06-01T18:42:00Z,cardio,2
2023-06-01T18:43:00Z,fat burn,1
2023-06-01T18:44:00Z,fat burn,1
2023-06-01T18:45:00Z,fat burn,1
2023-06-01T18:46:00Z,fat burn,1
2023-06-01T18:47:00Z,fat burn,1
2023-06-01T18:48:00Z,fat burn,1
2023-06-01T20:19:00Z,fat burn,1
2023-06-01T20:20:00Z,fat burn,1
2023-06-01T20:21:00Z,fat burn,1
2023-06-01T20:22:00Z,fat burn,1
2023-06-01T20:28:00Z,fat burn,1
2023-06-01T20:29:00Z,fat burn,1
2023-06-02T17:51:00Z,fat burn,1
2023-06-02T17:52:00Z,fat burn,1
2023-06-02T17:53:00Z,cardio,2
2023-06-02T17:54:00Z,cardio,2
2023-06-02T17:55:00Z,cardio,2
2023-06-02T17:56:00Z,fat burn,1
2023-06-02T17:57:00Z,fat burn,1
2023-06-02T17:58:00Z,fat burn,1
2023-06-02T17:59:00Z,fat burn,1
2023-06-02T18:00:00Z,fat burn,1
2023-06-02T18:05:00Z,fat burn,1
2023-06-02T18:06:00Z,cardio,2
2023-06-02T18:07:00Z,cardio,2
2023-06-02T18:08:00Z,cardio,2
2023-06-02T18:10:00Z,fat burn,1
2023-06-02T18:11:00Z,fat burn,1
2023-06-02T18:12:00Z,cardio,2
2023-06-02T18:15:00Z,cardio,2
2023-06-02T18:16:00Z,fat burn,1
2023-06-02T18:17:00Z,cardio,2
2023-06-02T18:18:00Z,cardio,2
2023-06-02T18:19:00Z,cardio,2
2023-06-02T18:20:00Z,cardio,2
2023-06-02T18:21:00Z,cardio,2
2023-06-02T18:22:00Z,peak,2
2023-06-02T18:23:00Z,peak,2
2023-06-02T18:26:00Z,cardio,2
2023-06-02T18:28:00Z,cardio,2
2023-06-02T18:29:00Z,cardio,2
2023-06-02T18:30:00Z,cardio,2
2023-06-02T18:31:00Z,cardio,2
2023-06-02T18:32:00Z,cardio,2
2023-06-02T18:33:00Z,fat burn,1
2023-06-02T18:34:00Z,fat burn,1
2023-06-02T18:35:00Z,fat burn,1
2023-06-02T18:36:00Z,fat burn,1
2023-06-02T18:37:00Z,fat burn,1
2023-06-02T18:38:00Z,fat burn,1
2023-06-02T18:39:00Z,fat burn,1
2023-06-02T19:37:00Z,fat burn,1
2023-06-02T20:31:00Z,fat burn,1
2023-06-02T20:40:00Z,fat burn,1
2023-06-04T02:50:00Z,fat burn,1
2023-06-04T02:51:00Z,fat burn,1
2023-06-04T02:54:00Z,fat burn,1
2023-06-04T02:55:00Z,fat burn,1
2023-06-04T02:56:00Z,fat burn,1
2023-06-05T17:57:00Z,fat burn,1
2023-06-05T18:01:00Z,fat burn,1
2023-06-05T19:02:00Z,fat burn,1
2023-06-05T19:09:00Z,fat burn,1
2023-06-05T19:10:00Z,fat burn,1
2023-06-05T19:11:00Z,fat burn,1
2023-06-05T19:12:00Z,cardio,2
2023-06-05T19:13:00Z,cardio,2
2023-06-05T19:14:00Z,cardio,2
2023-06-05T19:15:00Z,cardio,2
2023-06-05T19:16:00Z,cardio,2
2023-06-05T19:17:00Z,fat burn,1
2023-06-05T19:18:00Z,fat burn,1
2023-06-05T19:19:00Z,fat burn,1
2023-06-05T19:20:00Z,fat burn,1
2023-06-05T19:21:00Z,fat burn,1
2023-06-05T19:23:00Z,fat burn,1
2023-06-05T19:24:00Z,fat burn,1
2023-06-05T19:25:00Z,fat burn,1
2023-06-05T19:26:00Z,fat burn,1
2023-06-05T19:27:00Z,fat burn,1
2023-06-05T19:28:00Z,fat burn,1
2023-06-05T19:29:00Z,fat burn,1
2023-06-05T19:30:00Z,fat burn,1
2023-06-05T19:33:00Z,fat burn,1
2023-06-05T19:35:00Z,fat burn,1
2023-06-05T19:36:00Z,fat burn,1
2023-06-05T19:37:00Z,fat burn,1
2023-06-05T19:38:00Z,fat burn,1
2023-06-05T19:39:00Z,fat burn,1
2023-06-05T19:40:00Z,fat burn,1
2023-06-05T19:41:00Z,fat burn,1
2023-06-05T19:42:00Z,fat burn,1
2023-06-05T19:45:00Z,fat burn,1
2023-06-05T19:46:00Z,fat burn,1
2023-06-05T19:47:00Z,fat burn,1
2023-06-05T19:48:00Z,fat burn,1
2023-06-05T19:49:00Z,fat burn,1
2023-06-05T19:50:00Z,fat burn,1
2023-06-05T19:51:00Z,cardio,2
2023-06-05T19:52:00Z,fat burn,1
2023-06-05T19:53:00Z,fat burn,1
2023-06-05T19:54:00Z,fat burn,1
2023-06-05T19:56:00Z,fat burn,1
2023-06-05T19:57:00Z,fat burn,1
2023-06-05T19:58:00Z,fat burn,1
2023-06-05T19:59:00Z,fat burn,1
2023-06-05T20:00:00Z,fat burn,1
2023-06-05T20:01:00Z,fat burn,1
2023-06-05T20:02:00Z,fat burn,1
2023-06-06T02:51:00Z,fat burn,1
2023-06-06T20:26:00Z,fat burn,1
2023-06-06T20:29:00Z,fat burn,1
2023-06-06T20:30:00Z,fat burn,1
2023-06-06T20:31:00Z,fat burn,1
2023-06-06T20:33:00Z,fat burn,1
2023-06-08T05:18:00Z,fat burn,1
2023-06-08T17:50:00Z,fat burn,1
2023-06-08T17:54:00Z,fat burn,1
2023-06-08T17:55:00Z,fat burn,1
