timestamp,steps,distance millimeters,altitude gain millimeters
2023-04-17T17:41:19Z,2,0,0
2023-04-17T17:41:20Z,2,0,0
2023-04-17T17:41:21Z,2,0,0
2023-04-17T17:41:22Z,2,0,0
2023-04-17T17:41:23Z,1,290,0
2023-04-17T17:41:24Z,1,510,0
2023-04-17T17:41:25Z,2,760,0
2023-04-17T17:41:26Z,1,970,0
2023-04-17T17:41:27Z,2,1220,0
2023-04-17T17:41:28Z,2,1200,0
2023-04-17T17:41:29Z,2,1250,0
2023-04-17T17:41:30Z,1,1210,0
2023-04-17T17:41:31Z,2,1270,0
2023-04-17T17:41:32Z,1,1220,0
2023-04-17T17:41:33Z,2,1190,0
2023-04-17T17:41:34Z,2,1180,0
2023-04-17T17:41:35Z,2,1250,0
