timestamp,deep sleep stats - milli breaths per minute,deep sleep stats - standard deviation milli breaths per minute,deep sleep stats - signal to noise,light sleep stats - milli breaths per minute,light sleep stats - standard deviation milli breaths per minute,light sleep stats - signal to noise,rem sleep stats - milli breaths per minute,rem sleep stats - standard deviation milli breaths per minute,rem sleep stats - signal to noise,full sleep stats - milli breaths per minute,full sleep stats - standard deviation milli breaths per minute,full sleep stats - signal to noise
2023-06-01T06:56:30Z,14.4,1.6,9.014,14.4,1.6,10.534,15.2,0.7,4.426,14.4,1.6,9.014
2023-06-02T06:41:30Z,14.6,0.9,11.476,13.8,1.7,11.524,15.4,0.9,4.47,14.6,0.9,11.476
2023-06-03T07:31:00Z,15.8,1.2,9.353,15.0,2.2,10.669,15.0,2.0,4.292,15.8,1.2,9.353
2023-06-04T07:29:30Z,14.8,0.5,6.165,14.8,1.7,12.021,-1.0,0.0,2.185,14.8,0.5,6.165
2023-06-05T07:00:30Z,15.8,1.1,9.728,14.8,1.8,12.471,16.2,1.0,4.725,15.8,1.1,9.728
2023-06-06T06:34:30Z,15.0,1.3,12.164,14.8,1.5,10.582,14.6,2.1,4.785,15.0,1.3,12.164
2023-06-07T07:05:30Z,14.6,0.9,8.11,15.0,2.1,8.463,16.0,0.5,4.246,14.6,0.9,8.11
2023-06-08T07:01:30Z,14.2,0.6,10.219,14.6,1.9,14.164,14.8,1.5,3.277,14.2,0.6,10.219
2023-06-09T07:14:30Z,15.0,2.0,11.755,14.0,1.7,13.393,14.8,0.8,5.519,15.0,2.0,11.755
2023-06-10T08:03:00Z,14.8,1.1,9.868,14.0,1.7,11.799,14.8,1.5,4.13,14.8,1.1,9.868
2023-06-11T08:11:00Z,15.0,1.2,10.983,14.6,1.2,12.53,15.4,1.1,5.927,15.0,1.2,10.983
2023-06-12T07:32:30Z,15.0,1.5,7.088,15.2,0.8,11.714,13.6,2.1,6.463,15.0,1.5,7.088
2023-06-13T07:40:30Z,14.4,1.5,14.384,14.0,1.1,12.566,13.6,1.8,3.17,14.4,1.5,14.384
2023-06-14T07:56:30Z,15.8,0.9,12.27,13.4,1.8,13.816,15.0,2.4,6.123,15.8,0.9,12.27
2023-06-15T07:56:30Z,15.4,1.3,14.162,14.0,1.9,9.107,13.8,1.5,5.737,15.4,1.3,14.162
2023-06-16T08:05:30Z,15.6,1.2,10.971,14.2,1.4,12.598,15.6,2.3,3.217,15.6,1.2,10.971
2023-06-17T07:52:00Z,14.4,1.0,13.635,14.6,1.6,9.28,14.8,1.9,6.084,14.4,1.0,13.635
2023-06-18T09:45:30Z,15.2,1.5,13.378,14.6,1.8,16.884,14.2,1.4,4.408,15.2,1.5,13.378
2023-06-19T07:59:30Z,15.4,1.7,7.956,14.8,1.5,13.168,18.6,1.4,3.407,15.4,1.7,7.956
2023-06-20T06:51:00Z,14.8,1.2,15.097,13.8,1.4,10.372,14.8,1.1,6.452,14.8,1.2,15.097
2023-06-21T06:53:30Z,15.0,1.1,15.696,14.8,1.5,9.169,15.2,2.0,5.925,15.0,1.1,15.696
2023-06-22T07:49:00Z,15.0,1.1,13.714,14.6,1.7,10.573,13.2,1.6,3.995,15.0,1.1,13.714
2023-06-23T07:33:30Z,14.6,0.7,13.181,14.8,1.9,14.114,15.8,3.2,5.694,14.6,0.7,13.181
2023-06-24T07:58:00Z,13.6,1.6,12.899,14.4,1.3,14.232,12.4,1.1,3.677,13.6,1.6,12.899
2023-06-25T08:09:30Z,14.0,1.3,9.487,13.8,1.6,10.082,14.2,1.5,5.637,14.0,1.3,9.487
2023-06-26T02:57:30Z,14.6,0.7,10.649,14.4,1.9,4.242,14.0,1.9,5.274,14.6,0.7,10.649
2023-06-26T08:06:30Z,15.0,1.6,9.535,13.6,1.6,8.231,16.0,1.2,3.264,15.0,1.6,9.535
2023-06-27T07:58:30Z,15.2,1.5,13.73,14.4,1.7,13.521,14.4,2.1,4.607,15.2,1.5,13.73
2023-06-28T07:47:30Z,14.6,1.0,8.887,14.8,1.6,11.572,16.8,1.2,3.928,14.6,1.0,8.887
2023-06-29T07:40:00Z,14.0,1.3,12.432,13.4,1.7,9.018,15.4,2.7,4.123,14.0,1.3,12.432
2023-06-30T07:22:00Z,13.2,1.0,7.464,14.6,1.8,13.979,14.4,2.1,4.943,13.2,1.0,7.464
