timestamp,beats per minute
2023-05-25T00:00:01Z,66.0
2023-05-25T00:00:06Z,65.0
2023-05-25T00:00:11Z,64.0
2023-05-25T00:00:26Z,64.0
2023-05-25T00:00:31Z,65.0
2023-05-25T00:00:36Z,66.0
2023-05-25T00:00:41Z,68.0
2023-05-25T00:00:46Z,70.0
2023-05-25T00:00:51Z,71.0
2023-05-25T00:01:06Z,71.0
2023-05-25T00:01:11Z,72.0
2023-05-25T00:01:21Z,71.0
2023-05-25T00:01:26Z,72.0
2023-05-25T00:01:31Z,73.0
2023-05-25T00:01:36Z,74.0
2023-05-25T00:01:41Z,76.0
2023-05-25T00:01:51Z,78.0
2023-05-25T00:01:56Z,80.0
2023-05-25T00:02:01Z,77.0
2023-05-25T00:02:06Z,78.0
2023-05-25T00:02:11Z,79.0
2023-05-25T00:02:16Z,80.0
2023-05-25T00:02:21Z,76.0
2023-05-25T00:02:31Z,78.0
2023-05-25T00:02:36Z,80.0
2023-05-25T00:02:41Z,81.0
2023-05-25T00:02:46Z,82.0
2023-05-25T00:02:56Z,80.0
2023-05-25T00:03:06Z,79.0
2023-05-25T00:03:11Z,81.0
2023-05-25T00:03:16Z,82.0
2023-05-25T00:03:26Z,81.0
2023-05-25T00:03:41Z,83.0
2023-05-25T00:03:51Z,82.0
2023-05-25T00:03:56Z,81.0
2023-05-25T00:04:11Z,82.0
2023-05-25T00:04:16Z,81.0
2023-05-25T00:04:31Z,83.0
2023-05-25T00:04:41Z,84.0
2023-05-25T00:04:51Z,85.0
2023-05-25T00:04:56Z,86.0
2023-05-25T00:05:01Z,85.0
2023-05-25T00:05:06Z,84.0
2023-05-25T00:05:11Z,82.0
2023-05-25T00:05:16Z,78.0
2023-05-25T00:05:31Z,78.0
2023-05-25T00:05:41Z,77.0
2023-05-25T00:05:46Z,78.0
2023-05-25T00:05:51Z,74.0
2023-05-25T00:05:56Z,72.0
2023-05-25T00:06:01Z,71.0
2023-05-25T00:06:11Z,70.0
2023-05-25T00:06:23Z,67.0
2023-05-25T00:06:33Z,68.0
2023-05-25T00:06:48Z,69.0
2023-05-25T00:06:53Z,71.0
2023-05-25T00:06:58Z,78.0
2023-05-25T00:07:03Z,75.0
2023-05-25T00:07:18Z,75.0
2023-05-25T00:07:28Z,76.0
2023-05-25T00:07:33Z,77.0
2023-05-25T00:07:43Z,76.0
2023-05-25T00:07:48Z,75.0
2023-05-25T00:08:03Z,75.0
2023-05-25T00:08:18Z,75.0
2023-05-25T00:08:23Z,77.0
2023-05-25T00:08:28Z,76.0
2023-05-25T00:08:38Z,75.0
2023-05-25T00:08:43Z,76.0
2023-05-25T00:08:48Z,78.0
2023-05-25T00:08:58Z,79.0
2023-05-25T00:09:08Z,83.0
2023-05-25T00:09:13Z,90.0
2023-05-25T00:09:23Z,89.0
2023-05-25T00:09:28Z,88.0
2023-05-25T00:09:38Z,87.0
2023-05-25T00:09:43Z,84.0
2023-05-25T00:09:48Z,83.0
2023-05-25T00:09:53Z,80.0
2023-05-25T00:09:58Z,75.0
2023-05-25T00:10:08Z,76.0
2023-05-25T00:10:13Z,77.0
2023-05-25T00:10:18Z,78.0
2023-05-25T00:10:23Z,85.0
2023-05-25T00:10:28Z,87.0
2023-05-25T00:10:33Z,82.0
2023-05-25T00:10:48Z,80.0
2023-05-25T00:10:53Z,79.0
2023-05-25T00:10:58Z,73.0
2023-05-25T00:11:03Z,71.0
2023-05-25T00:11:13Z,72.0
2023-05-25T00:11:28Z,74.0
2023-05-25T00:11:33Z,75.0
2023-05-25T00:11:38Z,74.0
2023-05-25T00:11:48Z,73.0
2023-05-25T00:11:53Z,68.0
2023-05-25T00:11:58Z,70.0
2023-05-25T00:12:03Z,72.0
2023-05-25T00:12:13Z,73.0
2023-05-25T00:12:18Z,80.0
2023-05-25T00:12:23Z,82.0
2023-05-25T00:12:28Z,75.0
2023-05-25T00:12:33Z,73.0
2023-05-25T00:12:48Z,73.0
2023-05-25T00:12:53Z,74.0
2023-05-25T00:12:58Z,80.0
2023-05-25T00:13:03Z,80.0
2023-05-25T00:13:08Z,79.0
2023-05-25T00:13:13Z,77.0
2023-05-25T00:13:23Z,77.0
2023-05-25T00:13:28Z,79.0
2023-05-25T00:13:33Z,76.0
2023-05-25T00:13:38Z,74.0
2023-05-25T00:13:43Z,71.0
2023-05-25T00:13:48Z,72.0
2023-05-25T00:13:53Z,75.0
2023-05-25T00:13:58Z,77.0
2023-05-25T00:14:09Z,77.0
2023-05-25T00:14:14Z,77.0
2023-05-25T00:14:19Z,76.0
2023-05-25T00:14:24Z,75.0
2023-05-25T00:14:29Z,73.0
2023-05-25T00:14:39Z,73.0
2023-05-25T00:14:44Z,74.0
2023-05-25T00:14:54Z,86.0
2023-05-25T00:14:59Z,90.0
2023-05-25T00:15:04Z,89.0
2023-05-25T00:15:09Z,87.0
2023-05-25T00:15:14Z,83.0
2023-05-25T00:15:19Z,73.0
2023-05-25T00:15:29Z,72.0
2023-05-25T00:15:39Z,72.0
2023-05-25T00:15:49Z,71.0
2023-05-25T00:15:54Z,70.0
2023-05-25T00:16:04Z,71.0
2023-05-25T00:16:09Z,73.0
2023-05-25T00:16:14Z,74.0
2023-05-25T00:16:29Z,74.0
2023-05-25T00:16:34Z,73.0
2023-05-25T00:16:39Z,74.0
2023-05-25T00:16:49Z,75.0
2023-05-25T00:16:54Z,76.0
2023-05-25T00:16:59Z,76.0
2023-05-25T00:17:04Z,75.0
2023-05-25T00:17:09Z,74.0
2023-05-25T00:17:14Z,76.0
2023-05-25T00:17:19Z,74.0
2023-05-25T00:17:29Z,73.0
2023-05-25T00:17:34Z,75.0
2023-05-25T00:17:39Z,74.0
2023-05-25T00:17:44Z,72.0
2023-05-25T00:17:49Z,72.0
2023-05-25T00:17:54Z,73.0
2023-05-25T00:17:59Z,74.0
2023-05-25T00:18:04Z,74.0
2023-05-25T00:18:14Z,73.0
2023-05-25T00:18:24Z,74.0
2023-05-25T00:18:29Z,75.0
2023-05-25T00:18:34Z,75.0
2023-05-25T00:18:39Z,75.0
2023-05-25T00:18:49Z,75.0
2023-05-25T00:18:54Z,74.0
2023-05-25T00:18:59Z,75.0
2023-05-25T00:19:04Z,76.0
2023-05-25T00:19:09Z,75.0
2023-05-25T00:19:14Z,76.0
2023-05-25T00:19:24Z,77.0
2023-05-25T00:19:29Z,78.0
2023-05-25T00:19:34Z,77.0
2023-05-25T00:19:39Z,77.0
2023-05-25T00:19:44Z,76.0
2023-05-25T00:19:54Z,77.0
2023-05-25T00:20:04Z,77.0
2023-05-25T00:20:09Z,75.0
2023-05-25T00:20:14Z,74.0
2023-05-25T00:20:19Z,75.0
2023-05-25T00:20:24Z,76.0
2023-05-25T00:20:29Z,77.0
2023-05-25T00:20:34Z,82.0
2023-05-25T00:20:44Z,80.0
2023-05-25T00:20:49Z,75.0
2023-05-25T00:20:54Z,73.0
2023-05-25T00:20:59Z,74.0
2023-05-25T00:21:04Z,73.0
2023-05-25T00:21:09Z,72.0
2023-05-25T00:21:14Z,73.0
2023-05-25T00:21:29Z,73.0
2023-05-25T00:21:34Z,74.0
2023-05-25T00:21:39Z,73.0
2023-05-25T00:21:44Z,72.0
2023-05-25T00:21:49Z,70.0
2023-05-25T00:21:59Z,70.0
2023-05-25T00:22:09Z,71.0
