timestamp,temperature celsius
2023-05-27T00:00:00Z,31.7
2023-05-27T00:01:00Z,31.7
2023-05-27T00:02:00Z,31.7
2023-05-27T00:03:00Z,31.8
2023-05-27T00:04:00Z,31.7
2023-05-27T00:05:00Z,31.7
2023-05-27T00:06:00Z,31.7
2023-05-27T00:07:00Z,31.7
2023-05-27T00:08:00Z,31.7
2023-05-27T00:09:00Z,31.7
2023-05-27T00:10:00Z,31.8
2023-05-27T00:11:00Z,31.8
2023-05-27T00:12:00Z,32.0
2023-05-27T00:13:00Z,32.1
2023-05-27T00:14:00Z,32.1
2023-05-27T00:15:00Z,32.2
2023-05-27T00:16:00Z,32.2
2023-05-27T00:17:00Z,32.2
2023-05-27T00:18:00Z,32.3
2023-05-27T00:19:00Z,32.3
2023-05-27T00:20:00Z,32.3
2023-05-27T00:21:00Z,32.4
2023-05-27T00:22:00Z,32.4
2023-05-27T00:23:00Z,32.5
2023-05-27T00:24:00Z,32.5
2023-05-27T00:25:00Z,32.6
2023-05-27T00:26:00Z,32.6
2023-05-27T00:27:00Z,32.6
2023-05-27T00:28:00Z,32.6
2023-05-27T00:29:00Z,32.5
2023-05-27T00:30:00Z,32.5
2023-05-27T00:31:00Z,32.5
2023-05-27T00:32:00Z,32.5
2023-05-27T00:33:00Z,32.5
2023-05-27T00:34:00Z,32.4
2023-05-27T00:35:00Z,32.4
2023-05-27T00:36:00Z,32.4
2023-05-27T00:37:00Z,32.3
2023-05-27T00:38:00Z,32.3
2023-05-27T00:39:00Z,32.3
2023-05-27T00:40:00Z,32.2
2023-05-27T00:41:00Z,32.1
2023-05-27T00:42:00Z,32.1
2023-05-27T00:43:00Z,32.0
2023-05-27T00:44:00Z,31.8
2023-05-27T00:45:00Z,31.5
2023-05-27T00:46:00Z,31.400000000000002
2023-05-27T00:47:00Z,31.2
2023-05-27T00:48:00Z,31.2
2023-05-27T00:49:00Z,31.1
2023-05-27T00:50:00Z,31.0
2023-05-27T00:51:00Z,31.0
2023-05-27T00:52:00Z,31.0
2023-05-27T00:53:00Z,31.0
2023-05-27T00:54:00Z,30.8
2023-05-27T00:55:00Z,30.7
2023-05-27T00:56:00Z,30.6
2023-05-27T00:57:00Z,30.5
2023-05-27T00:58:00Z,30.400000000000002
2023-05-27T00:59:00Z,30.3
2023-05-27T01:00:00Z,30.400000000000002
2023-05-27T01:01:00Z,30.400000000000002
2023-05-27T01:02:00Z,30.400000000000002
2023-05-27T01:03:00Z,30.3
2023-05-27T01:04:00Z,30.2
2023-05-27T01:05:00Z,30.2
2023-05-27T01:06:00Z,30.2
2023-05-27T01:07:00Z,30.2
2023-05-27T01:08:00Z,30.400000000000002
2023-05-27T01:09:00Z,30.6
2023-05-27T01:10:00Z,30.7
2023-05-27T01:11:00Z,30.7
2023-05-27T01:12:00Z,30.8
2023-05-27T01:13:00Z,30.900000000000002
2023-05-27T01:14:00Z,31.0
2023-05-27T01:15:00Z,30.7
2023-05-27T01:16:00Z,30.7
2023-05-27T01:17:00Z,30.6
2023-05-27T01:18:00Z,30.6
2023-05-27T01:19:00Z,30.5
2023-05-27T01:20:00Z,30.5
2023-05-27T01:21:00Z,30.6
2023-05-27T01:22:00Z,30.6
2023-05-27T01:23:00Z,30.6
2023-05-27T01:24:00Z,30.6
2023-05-27T01:25:00Z,30.5
2023-05-27T01:26:00Z,30.5
2023-05-27T01:27:00Z,30.400000000000002
2023-05-27T01:28:00Z,30.3
2023-05-27T01:29:00Z,30.2
2023-05-27T01:30:00Z,30.1
2023-05-27T01:31:00Z,30.1
2023-05-27T01:32:00Z,30.0
2023-05-27T01:33:00Z,30.2
2023-05-27T01:34:00Z,30.2
2023-05-27T01:35:00Z,29.2
2023-05-27T01:36:00Z,27.8
2023-05-27T01:37:00Z,26.900000000000002
2023-05-27T01:38:00Z,26.400000000000002
2023-05-27T01:39:00Z,25.900000000000002
2023-05-27T01:40:00Z,25.5
2023-05-27T01:41:00Z,25.1
2023-05-27T01:42:00Z,24.8
2023-05-27T01:43:00Z,24.6
2023-05-27T01:44:00Z,24.400000000000002
2023-05-27T01:45:00Z,24.2
2023-05-27T01:46:00Z,24.0
2023-05-27T01:47:00Z,23.8
2023-05-27T01:48:00Z,23.7
2023-05-27T01:49:00Z,23.6
2023-05-27T01:50:00Z,23.5
2023-05-27T01:51:00Z,23.400000000000002
2023-05-27T01:52:00Z,23.3
2023-05-27T01:53:00Z,23.2
2023-05-27T01:54:00Z,23.1
2023-05-27T01:55:00Z,23.1
2023-05-27T01:56:00Z,23.0
2023-05-27T01:57:00Z,22.900000000000002
2023-05-27T01:58:00Z,22.900000000000002
2023-05-27T01:59:00Z,22.900000000000002
2023-05-27T02:00:00Z,22.8
2023-05-27T02:01:00Z,22.8
2023-05-27T02:02:00Z,22.7
2023-05-27T02:03:00Z,22.7
2023-05-27T02:04:00Z,22.7
2023-05-27T02:05:00Z,22.7
2023-05-27T02:06:00Z,22.7
2023-05-27T02:07:00Z,22.6
2023-05-27T02:08:00Z,22.6
2023-05-27T02:09:00Z,22.6
2023-05-27T02:10:00Z,22.6
2023-05-27T02:11:00Z,22.5
2023-05-27T02:12:00Z,22.5
2023-05-27T17:28:00Z,19.7
2023-05-27T17:29:00Z,19.8
2023-05-27T17:30:00Z,19.8
2023-05-27T17:31:00Z,19.8
2023-05-27T17:32:00Z,19.8
2023-05-27T17:33:00Z,19.8
2023-05-27T17:34:00Z,19.8
2023-05-27T17:35:00Z,19.8
2023-05-27T17:36:00Z,19.8
2023-05-27T17:37:00Z,19.8
2023-05-27T17:38:00Z,19.8
2023-05-27T17:39:00Z,19.8
2023-05-27T17:40:00Z,19.8
2023-05-27T17:41:00Z,19.8
2023-05-27T17:42:00Z,19.8
2023-05-27T17:43:00Z,19.8
2023-05-27T17:44:00Z,19.8
2023-05-27T17:45:00Z,19.8
2023-05-27T17:46:00Z,19.8
2023-05-27T17:47:00Z,19.8
2023-05-27T17:48:00Z,19.8
2023-05-27T17:49:00Z,19.8
2023-05-27T17:50:00Z,19.8
2023-05-27T17:51:00Z,19.8
2023-05-27T17:52:00Z,19.8
2023-05-27T17:53:00Z,19.8
2023-05-27T17:54:00Z,19.8
2023-05-27T17:55:00Z,19.8
2023-05-27T17:56:00Z,19.8
2023-05-27T17:57:00Z,19.8
2023-05-27T17:58:00Z,19.8
2023-05-27T17:59:00Z,19.900000000000002
2023-05-27T18:00:00Z,19.900000000000002
2023-05-27T18:01:00Z,19.900000000000002
2023-05-27T18:02:00Z,19.900000000000002
2023-05-27T18:03:00Z,19.900000000000002
2023-05-27T18:04:00Z,19.900000000000002
2023-05-27T18:05:00Z,19.900000000000002
2023-05-27T18:06:00Z,19.900000000000002
2023-05-27T18:07:00Z,19.900000000000002
2023-05-27T18:08:00Z,19.900000000000002
2023-05-27T18:09:00Z,19.900000000000002
2023-05-27T18:10:00Z,19.900000000000002
2023-05-27T18:11:00Z,19.900000000000002
2023-05-27T18:12:00Z,19.900000000000002
2023-05-27T18:13:00Z,19.900000000000002
2023-05-27T18:14:00Z,19.900000000000002
2023-05-27T18:15:00Z,20.0
2023-05-27T18:16:00Z,20.0
2023-05-27T18:17:00Z,20.0
2023-05-27T18:18:00Z,20.0
2023-05-27T18:19:00Z,20.0
2023-05-27T18:20:00Z,20.0
2023-05-27T18:21:00Z,20.0
