sleep_id,sleep_stage_id,sleep_stage_type,start_utc_offset,sleep_stage_start,end_utc_offset,sleep_stage_end,data_source,sleep_stage_created,sleep_stage_last_updated
1290633720992118224,1005304208251166888,LIGHT,-07:00,2025-07-04 08:25:30+0000,-07:00,2025-07-04 08:26:00+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,1162122403011370000,AWAKE,-07:00,2025-07-04 09:14:00+0000,-07:00,2025-07-04 09:16:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,1197320169531358960,DEEP,-07:00,2025-07-04 02:35:30+0000,-07:00,2025-07-04 03:19:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,1207026320320452392,LIGHT,-07:00,2025-07-04 07:09:00+0000,-07:00,2025-07-04 07:09:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,1266583222115016064,LIGHT,-07:00,2025-07-04 07:11:00+0000,-07:00,2025-07-04 07:14:00+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,1417677969284410528,LIGHT,-07:00,2025-07-04 04:10:30+0000,-07:00,2025-07-04 04:11:00+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,1471028857578082776,LIGHT,-07:00,2025-07-04 09:51:30+0000,-07:00,2025-07-04 10:04:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,151257452866690856,AWAKE,-07:00,2025-07-04 09:10:30+0000,-07:00,2025-07-04 09:12:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,1667351053367562200,LIGHT,-07:00,2025-07-04 07:15:00+0000,-07:00,2025-07-04 07:20:00+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,171682852273829712,REM,-07:00,2025-07-04 05:21:00+0000,-07:00,2025-07-04 05:22:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,178913770421192216,DEEP,-07:00,2025-07-04 02:33:30+0000,-07:00,2025-07-04 02:34:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,1883904512165099072,AWAKE,-07:00,2025-07-04 09:30:30+0000,-07:00,2025-07-04 09:33:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,1998169688083209216,AWAKE,-07:00,2025-07-04 09:08:00+0000,-07:00,2025-07-04 09:08:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,2022407814014334976,AWAKE,-07:00,2025-07-04 02:06:00+0000,-07:00,2025-07-04 02:19:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,2044400726374132656,REM,-07:00,2025-07-04 06:40:00+0000,-07:00,2025-07-04 06:40:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,2050324270016191160,LIGHT,-07:00,2025-07-04 04:35:00+0000,-07:00,2025-07-04 04:36:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,211984654032672504,AWAKE,-07:00,2025-07-04 06:29:30+0000,-07:00,2025-07-04 06:30:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,215026162305063536,REM,-07:00,2025-07-04 07:10:30+0000,-07:00,2025-07-04 07:11:00+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,2154608888797267808,LIGHT,-07:00,2025-07-04 04:45:30+0000,-07:00,2025-07-04 04:47:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,2211275055096182472,AWAKE,-07:00,2025-07-04 07:14:00+0000,-07:00,2025-07-04 07:15:00+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,2245397206474528552,DEEP,-07:00,2025-07-04 08:50:30+0000,-07:00,2025-07-04 09:04:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,2404296293673979600,AWAKE,-07:00,2025-07-04 05:35:30+0000,-07:00,2025-07-04 05:36:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
1290633720992118224,2474659539195474520,LIGHT,-07:00,2025-07-04 07:10:00+0000,-07:00,2025-07-04 07:10:30+0000,DERIVED,2025-07-04 17:22:12+0000,2025-07-04 17:22:12+0000
