exercise_id,exercise_start,exercise_end,utc_offset,exercise_created,exercise_last_updated,activity_name,log_type,pool_length,pool_length_unit,intervals,distance_units,tracker_total_calories,tracker_total_steps,tracker_total_distance_mm,tracker_total_altitude_mm,tracker_avg_heart_rate,tracker_peak_heart_rate,tracker_avg_pace_mm_per_second,tracker_avg_speed_mm_per_second,tracker_peak_speed_mm_per_second,tracker_auto_stride_run_mm,tracker_auto_stride_walk_mm,tracker_swim_lengths,tracker_pool_length,tracker_pool_length_unit,tracker_cardio_load,manually_logged_total_calories,manually_logged_total_steps,manually_logged_total_distance_mm,manually_logged_pool_length,manually_logged_pool_length_unit,events
7419054813962336432,2023-05-10 20:12:50+0000,2023-05-10 20:32:28+0000,-07:00,2023-05-10 20:43:40+0000,2023-05-10 20:43:40+0000,Aerobic Workout,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
7430518232594022352,2023-05-12 17:37:02+0000,2023-05-12 18:35:04+0000,-07:00,2023-05-12 18:51:52+0000,2023-05-12 18:51:52+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
7528910326555987656,2023-07-19 16:02:50+0000,2023-07-19 17:05:58+0000,-07:00,2023-07-19 17:31:37+0000,2023-07-19 17:31:37+0000,Swim,AUTO_DETECTED,25,METER,,,,,,,,,,,,,,,,,,,,,,,
7556925142655636208,2023-06-01 17:43:28+0000,2023-06-01 18:43:12+0000,-07:00,2023-06-03 17:36:00+0000,2023-06-03 17:36:00+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
7662053855578107056,2023-05-26 17:52:52+0000,2023-05-26 18:26:08+0000,-07:00,2023-05-26 19:16:42+0000,2023-05-26 19:16:42+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
7798812354180164144,2023-05-22 17:25:50+0000,2023-05-22 17:58:16+0000,-07:00,2023-05-22 18:10:06+0000,2023-05-22 18:10:06+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
784006238624680968,2023-05-05 20:49:50+0000,2023-05-05 22:53:34+0000,-07:00,2023-05-05 22:55:47+0000,2023-05-05 22:55:47+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
8037511820815496728,2022-12-05 18:46:43+0000,2022-12-05 19:23:24+0000,-08:00,2022-12-05 22:08:16+0000,2022-12-05 22:08:16+0000,Outdoor Walk,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
8151720812454068448,2023-04-21 17:50:59+0000,2023-04-21 18:37:55+0000,-07:00,2023-04-21 18:41:53+0000,2023-04-21 18:41:53+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
822374260878917600,2023-05-09 18:03:05+0000,2023-05-09 18:18:26+0000,-07:00,2023-05-09 18:29:45+0000,2023-05-09 18:29:45+0000,Aerobic Workout,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
8233942318005111288,2023-04-17 22:20:39+0000,2023-04-18 00:02:15+0000,-07:00,2023-04-18 00:05:58+0000,2023-04-18 00:05:58+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
8254925819277592856,2023-05-31 17:43:53+0000,2023-05-31 18:46:11+0000,-07:00,2023-06-03 17:35:59+0000,2023-06-03 17:35:59+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
8772867703634632864,2023-05-26 20:20:29+0000,2023-05-26 20:39:15+0000,-07:00,2023-05-26 20:51:53+0000,2023-05-26 20:51:53+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
8817472288509688,2023-07-12 21:35:48+0000,2023-07-12 23:58:19+0000,-07:00,2023-07-13 00:53:36+0000,2023-07-13 00:53:36+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
8822992656791413688,2023-06-18 00:07:05+0000,2023-06-18 01:00:51+0000,-07:00,2023-06-18 01:13:55+0000,2023-06-18 01:13:55+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
883395391693307064,2023-05-11 17:49:16+0000,2023-05-11 18:46:27+0000,-07:00,2023-05-11 18:49:15+0000,2023-05-11 18:49:15+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
8869341273350423240,2023-05-19 17:36:43+0000,2023-05-19 18:33:02+0000,-07:00,2023-05-19 18:48:40+0000,2023-05-19 18:48:40+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
9027062635907750488,2023-05-05 17:53:58+0000,2023-05-05 18:31:32+0000,-07:00,2023-05-05 18:35:56+0000,2023-05-05 18:35:56+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
9205421362982336056,2023-05-08 01:39:14+0000,2023-05-08 02:57:48+0000,-07:00,2023-05-08 03:11:01+0000,2023-05-08 03:11:01+0000,Sport,AUTO_DETECTED,0,UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,
