date_time,heart_zone_id,total_minutes
2023-06-01T07:52,FAT_BURN,1
2023-06-01T10:54,FAT_BURN,1
2023-06-01T10:55,FAT_BURN,1
2023-06-01T10:56,FAT_BURN,1
2023-06-01T10:58,FAT_BURN,1
2023-06-01T10:59,FAT_BURN,1
2023-06-01T11:00,FAT_BURN,1
2023-06-01T11:03,FAT_BURN,1
2023-06-01T11:04,CARDIO,2
2023-06-01T11:05,FAT_BURN,1
2023-06-01T11:06,FAT_BURN,1
2023-06-01T11:11,FAT_BURN,1
2023-06-01T11:12,FAT_BURN,1
2023-06-01T11:13,FAT_BURN,1
2023-06-01T11:16,FAT_BURN,1
2023-06-01T11:17,FAT_BURN,1
2023-06-01T11:19,FAT_BURN,1
2023-06-01T11:20,CARDIO,2
2023-06-01T11:21,FAT_BURN,1
2023-06-01T11:23,CARDIO,2
2023-06-01T11:24,CARDIO,2
2023-06-01T11:25,CARDIO,2
2023-06-01T11:26,CARDIO,2
2023-06-01T11:27,CARDIO,2
2023-06-01T11:28,CARDIO,2
2023-06-01T11:29,CARDIO,2
2023-06-01T11:30,CARDIO,2
2023-06-01T11:31,CARDIO,2
2023-06-01T11:32,CARDIO,2
2023-06-01T11:33,PEAK,2
2023-06-01T11:34,CARDIO,2
2023-06-01T11:35,CARDIO,2
2023-06-01T11:36,CARDIO,2
2023-06-01T11:37,CARDIO,2
2023-06-01T11:38,FAT_BURN,1
2023-06-01T11:40,FAT_BURN,1
2023-06-01T11:41,CARDIO,2
2023-06-01T11:42,CARDIO,2
2023-06-01T11:43,FAT_BURN,1
2023-06-01T11:44,FAT_BURN,1
2023-06-01T11:45,FAT_BURN,1
2023-06-01T11:46,FAT_BURN,1
2023-06-01T11:47,FAT_BURN,1
2023-06-01T11:48,FAT_BURN,1
2023-06-01T13:19,FAT_BURN,1
2023-06-01T13:20,FAT_BURN,1
2023-06-01T13:21,FAT_BURN,1
2023-06-01T13:22,FAT_BURN,1
2023-06-01T13:28,FAT_BURN,1
2023-06-01T13:29,FAT_BURN,1
2023-06-02T10:51,FAT_BURN,1
2023-06-02T10:52,FAT_BURN,1
2023-06-02T10:53,CARDIO,2
2023-06-02T10:54,CARDIO,2
2023-06-02T10:55,CARDIO,2
2023-06-02T10:56,FAT_BURN,1
2023-06-02T10:57,FAT_BURN,1
2023-06-02T10:58,FAT_BURN,1
2023-06-02T10:59,FAT_BURN,1
2023-06-02T11:00,FAT_BURN,1
2023-06-02T11:05,FAT_BURN,1
2023-06-02T11:06,CARDIO,2
2023-06-02T11:07,CARDIO,2
2023-06-02T11:08,CARDIO,2
2023-06-02T11:10,FAT_BURN,1
2023-06-02T11:11,FAT_BURN,1
2023-06-02T11:12,CARDIO,2
2023-06-02T11:15,CARDIO,2
2023-06-02T11:16,FAT_BURN,1
2023-06-02T11:17,CARDIO,2
2023-06-02T11:18,CARDIO,2
2023-06-02T11:19,CARDIO,2
2023-06-02T11:20,CARDIO,2
2023-06-02T11:21,CARDIO,2
2023-06-02T11:22,PEAK,2
2023-06-02T11:23,PEAK,2
2023-06-02T11:26,CARDIO,2
2023-06-02T11:28,CARDIO,2
2023-06-02T11:29,CARDIO,2
