type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2023-05-01T00:40:30,2023-05-01T07:04:30,384,32.7875,34.747586206894994,409.0042571541853,0.3664310556711203,1.0811110195931752
IDT,2023-05-01T22:43,2023-05-02T06:07:30,445,32.297078651685396,-168.68248135885187,1130.66727981437,0.36231187353768785,1.1153808710336963
IDT,2023-05-02T23:16:30,2023-05-03T07:04:30,468,32.09679487179487,-261.36604215456646,961.6114486998413,0.367800950925959,1.132682323111687
IDT,2023-05-03T23:45:30,2023-05-04T06:58,431,33.1860788863109,219.78348434682084,654.1325289828237,0.3840395969046506,1.1412613224782815
IDT,2023-05-05T00:23,2023-05-05T07:02,399,32.697994987468675,0.39241379310260527,1065.1587819263805,0.3760905467053854,1.1678616228735417
IDT,2023-05-06T00:16,2023-05-06T07:22:30,407,33.114250614250615,169.61618096966413,231.38444434094708,0.38364956108065096,1.1547282883823016
IDT,2023-05-07T01:53:30,2023-05-07T08:19:30,386,32.01502590673575,-263.2464367816119,1250.5231255913386,0.39350730110472787,1.1848179552647102
IDT,2023-05-07T23:48,2023-05-08T07:06:30,438,32.37283105022831,-132.84949850601697,882.3411855096929,0.38766646461099663,1.19481465828158
IDT,2023-05-08T21:53,2023-05-09T05:35:30,463,32.20950323974082,-206.38969555034964,855.9397115104366,0.38644674450421085,1.200688010699642
IDT,2023-05-09T23:09:30,2023-05-10T06:51:30,413,31.545762711864406,-427.41603610241145,1084.3403581538005,0.42469421159400583,1.2144944867608507
IDT,2023-05-11T23:47:30,2023-05-12T07:04,436,31.569036697247707,-408.545393258426,1231.3115787905408,0.45298457535857833,1.2306160819229912
IDT,2023-05-12T22:49:30,2023-05-13T07:54,543,31.896685082872928,-324.5408450704199,919.3259670697153,0.46608508976901014,1.2301555181894717
IDT,2023-05-14T00:15,2023-05-14T08:06:30,469,31.38102345415778,-476.46541176470237,1623.9907646228094,0.5053494090471863,1.2533057249850819
IDT,2023-05-14T23:33:30,2023-05-15T06:35,421,32.338954869358666,-14.26187214611673,747.0242779029068,0.4939517044673209,1.2534852680539121
IDT,2023-05-15T23:12:30,2023-05-16T06:47,454,32.29801762114537,-26.09029535865011,535.4475628016517,0.4902412983265391,1.249548186629013
IDT,2023-05-16T23:57,2023-05-17T07:03:30,427,32.4632318501171,46.00780590717295,963.4499255372211,0.490452370172341,1.2559572988712948
IDT,2023-05-17T21:48:30,2023-05-18T06:41,519,32.316763005780345,-20.09683544303698,444.28235605964437,0.4864156165043216,1.2450190573233344
IDT,2023-05-19T00:46,2023-05-19T06:56,370,32.76054054054054,149.8704641350214,432.40971897309646,0.4839949964045955,1.256327284023328
IDT,2023-05-19T22:43,2023-05-20T08:13,567,33.099823633156966,422.03987341772154,813.5304669390898,0.49477008337274564,1.2687811742203985
IDT,2023-05-20T23:01,2023-05-21T08:30:30,569,31.779261862917398,-327.871097046409,665.842278169468,0.4931074771934223,1.2554566536046439
IDT,2023-05-22T00:31:30,2023-05-22T07:08:30,397,32.60528967254408,92.28607305936202,752.71158509003,0.4944099250591361,1.2687120820707614
IDT,2023-05-22T23:36:30,2023-05-23T07:27,470,32.09531914893617,-118.8423357664251,757.4597037668573,0.48607866792684373,1.2772508083895882
IDT,2023-05-24T00:49:30,2023-05-24T06:57:30,367,31.914441416893734,-155.7964370546306,754.3311438662931,0.4874267413818764,1.292550534491157
IDT,2023-05-24T23:33:30,2023-05-25T06:48,424,32.33278301886793,-1.8189894035458565E-12,782.3143160376931,0.46344649892923195,1.305415944802987
IDT,2023-05-26T00:04:30,2023-05-26T06:46:30,402,31.56691542288557,-301.43872832369925,531.2230769487796,0.47954304593664177,1.3103492520445652
IDT,2023-05-30T02:24,2023-05-30T06:29,245,32.4334693877551,30.889373201598573,624.4600545991561,0.4926253445805032,1.3482898894407316
IDT,2023-05-30T23:58:30,2023-05-31T07:04:30,426,32.41924882629108,47.65172646482097,540.412410880439,0.48251920350400757,1.3503341938070519
IDT,2023-05-31T22:40:30,2023-06-01T06:56:30,496,31.60141129032258,-350.1655954775797,1037.718577129417,0.4994732659057677,1.3417173561407065
