type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2023-04-13T00:19,2023-04-13T07:45,445,32.506067415730335,NaN,NaN,NaN,NaN
IDT,2023-04-13T23:58,2023-04-14T07:16:30,435,32.69701149425288,NaN,NaN,NaN,NaN
IDT,2023-04-14T23:59:30,2023-04-15T07:47,453,32.980353200883,128.35379310344797,718.0831262781285,0.23863820937309255,1.2280958203655936
IDT,2023-04-16T00:20,2023-04-16T08:45:30,491,32.72606924643584,7.133678160918862,696.6299579716288,0.19484922756706058,1.2163900415598805
IDT,2023-04-17T00:01:30,2023-04-17T07:13,425,32.396941176470584,-127.52988505747271,848.4139566653175,0.22430339566965493,1.286195482836459
IDT,2023-04-18T00:28:30,2023-04-18T07:09:30,401,32.051371571072316,-220.61732145163478,703.8583105350845,0.319764583278303,1.289483263553794
IDT,2023-04-19T00:06,2023-04-19T06:39:30,392,32.84158163265306,56.671494252872435,152.28522515529767,0.3107475515156543,1.1992624660237585
IDT,2023-04-19T23:17,2023-04-20T07:01:30,460,32.84195652173913,59.99142964159364,400.20409050094895,0.3001537441954813,1.1582130499516863
IDT,2023-04-20T23:42,2023-04-21T06:33:30,412,31.74344660194175,-392.86873563218614,873.87813941075,0.4076699776580225,1.1927053760387794
IDT,2023-04-21T23:53:30,2023-04-22T07:49,474,32.35548523206751,-116.62970166602281,518.9079690099461,0.3883708575062881,1.1708548152921299
IDT,2023-04-22T23:33:30,2023-04-23T08:08,506,32.96343873517787,134.81218390804497,447.7712548025884,0.39256796496555646,1.1497450466682018
IDT,2023-04-23T23:41,2023-04-24T06:04,383,32.77859007832898,25.68003815811062,210.06627770175692,0.379828927626155,1.1210880125511076
IDT,2023-04-25T00:30:30,2023-04-25T06:30:30,360,33.13805555555555,148.3150712830975,190.27241769363172,0.3959323178108632,1.0987670550804671
IDT,2023-04-26T00:02,2023-04-26T07:09,427,32.65526932084309,-24.027738137041524,283.7277100702049,0.38053729112058987,1.078105191190105
IDT,2023-04-26T23:17,2023-04-27T06:07:30,411,32.348175182481754,-143.3717241379327,503.75939484732226,0.3733360220044863,1.0787182421060144
IDT,2023-04-28T00:30,2023-04-28T07:02:30,393,32.782442748091604,27.864634454666884,348.96452379983384,0.3634997767999295,1.0708213594760827
IDT,2023-04-29T00:33:30,2023-04-29T08:03:30,426,31.973943661971834,-308.02689655172617,575.7651150218444,0.3845630695740141,1.0732001980927535
IDT,2023-04-30T00:48,2023-04-30T08:11,426,32.4943661971831,-77.43581361544057,646.3823127471842,0.3735684315084978,1.0829239356957454
IDT,2023-05-01T00:40:30,2023-05-01T07:04:30,384,32.7875,34.747586206894994,409.0042571541853,0.3664310556711203,1.0811110195931752
