recorded_time,temperature,sensor_type
2023-06-19T00:00,2.06721698113207,UNKNOWN
2023-06-19T00:01,2.06721698113207,UNKNOWN
2023-06-19T00:02,2.06721698113207,UNKNOWN
2023-06-19T00:03,2.06721698113207,UNKNOWN
2023-06-19T00:04,2.1672169811320714,UNKNOWN
2023-06-19T00:05,2.1672169811320714,UNKNOWN
2023-06-19T00:06,2.1672169811320714,UNKNOWN
2023-06-19T00:07,2.1672169811320714,UNKNOWN
2023-06-19T00:08,2.1672169811320714,UNKNOWN
2023-06-19T00:09,2.1672169811320714,UNKNOWN
2023-06-19T00:10,2.1672169811320714,UNKNOWN
2023-06-19T00:11,2.1672169811320714,UNKNOWN
2023-06-19T00:12,2.1672169811320714,UNKNOWN
2023-06-19T00:13,2.1672169811320714,UNKNOWN
2023-06-19T00:14,2.1672169811320714,UNKNOWN
2023-06-19T00:15,2.1672169811320714,UNKNOWN
2023-06-19T00:16,2.1672169811320714,UNKNOWN
2023-06-19T00:17,2.06721698113207,UNKNOWN
2023-06-19T00:18,2.06721698113207,UNKNOWN
2023-06-19T00:19,2.06721698113207,UNKNOWN
2023-06-19T00:20,2.06721698113207,UNKNOWN
2023-06-19T00:21,2.06721698113207,UNKNOWN
2023-06-19T00:22,2.06721698113207,UNKNOWN
2023-06-19T00:23,1.9672169811320686,UNKNOWN
2023-06-19T00:24,1.9672169811320686,UNKNOWN
2023-06-19T00:25,1.9672169811320686,UNKNOWN
2023-06-19T00:26,1.9672169811320686,UNKNOWN
2023-06-19T00:27,1.9672169811320686,UNKNOWN
2023-06-19T00:28,1.9672169811320686,UNKNOWN
2023-06-19T00:29,1.9672169811320686,UNKNOWN
2023-06-19T00:30,1.9672169811320686,UNKNOWN
2023-06-19T00:31,1.8672169811320742,UNKNOWN
2023-06-19T00:32,1.8672169811320742,UNKNOWN
2023-06-19T00:33,1.8672169811320742,UNKNOWN
2023-06-19T00:34,1.7672169811320728,UNKNOWN
2023-06-19T00:35,1.7672169811320728,UNKNOWN
2023-06-19T00:36,1.7672169811320728,UNKNOWN
2023-06-19T00:37,1.6672169811320714,UNKNOWN
2023-06-19T00:38,1.56721698113207,UNKNOWN
2023-06-19T00:39,1.56721698113207,UNKNOWN
2023-06-19T00:40,1.4672169811320686,UNKNOWN
2023-06-19T00:41,1.4672169811320686,UNKNOWN
2023-06-19T00:42,1.4672169811320686,UNKNOWN
2023-06-19T00:43,1.4672169811320686,UNKNOWN
2023-06-19T00:44,1.4672169811320686,UNKNOWN
2023-06-19T00:45,1.4672169811320686,UNKNOWN
2023-06-19T00:46,1.4672169811320686,UNKNOWN
2023-06-19T00:47,1.4672169811320686,UNKNOWN
2023-06-19T00:48,1.4672169811320686,UNKNOWN
2023-06-19T00:49,1.4672169811320686,UNKNOWN
2023-06-19T00:50,1.4672169811320686,UNKNOWN
2023-06-19T00:51,1.4672169811320686,UNKNOWN
2023-06-19T00:52,1.56721698113207,UNKNOWN
