type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2023-07-01T00:54:30,2023-07-01T07:30:30,378,31.823809523809523,-200.0031965119906,831.2092026851606,0.5108149242681753,1.2613688054673873
IDT,2023-07-02T22:59,2023-07-03T06:04:30,420,32.941904761904766,249.55266272189328,733.1199320751475,0.5256237890411011,1.2704869469150453
IDT,2023-07-03T22:15:30,2023-07-04T07:05,518,33.151737451737446,411.10147368420803,1223.0967985815369,0.5500021945071308,1.2859322484294733
IDT,2023-07-04T22:39:30,2023-07-05T03:42,301,32.73853820598006,114.51031578947186,1106.0564532298595,0.5352601946107329,1.3062282609509108
IDT,2023-07-07T21:55,2023-07-08T07:39,584,33.14691780821918,460.66652631578836,1356.8339871023782,0.536961437378067,1.305546927438017
IDT,2023-07-08T21:57,2023-07-09T08:28:30,605,32.46561983471074,59.906521739132586,844.1567790855188,0.5008914896739003,1.3040117265853783
IDT,2023-07-09T23:39,2023-07-10T07:41,472,32.184322033898304,-86.03557312252633,871.6864403443178,0.4575251781335624,1.2964243843920134
IDT,2023-07-10T22:43,2023-07-11T06:47:30,445,33.0323595505618,296.26264822134544,480.7334758002544,0.47172448290055247,1.2911042546575737
IDT,2023-07-11T22:09,2023-07-12T07:22:30,546,32.10842490842491,-136.32547368421,854.9790380499326,0.4748224441540052,1.2956272214095634
IDT,2023-07-13T23:17,2023-07-14T07:41:30,505,32.343366336633665,-9.588278552109841,215.58232690230943,0.45909614209869537,1.284251283603549
IDT,2023-07-14T23:03:30,2023-07-15T07:50,498,32.66947791164659,152.94819263574027,564.9102603022475,0.46126093315105166,1.284657036196737
IDT,2023-07-16T00:26,2023-07-16T07:54:30,414,32.00048309178744,-149.8141531100464,598.4331412370084,0.4662751948954544,1.2936962413518902
IDT,2023-07-17T22:44:30,2023-07-18T07:54:30,528,31.959848484848486,-204.80236686390708,537.9281997596845,0.4796984571010362,1.300352278512091
IDT,2023-07-18T22:36:30,2023-07-19T07:20,500,32.5344,88.1473684210523,491.88823711895384,0.47780109851352087,1.2904572794200935
IDT,2023-07-19T22:37,2023-07-20T07:39:30,543,32.42007366482505,29.035770750990196,661.3038231732789,0.47256453220214334,1.2903426682204246
