timestamp,rmssd,coverage,low_frequency,high_frequency
2023-06-25T00:00:00,46.977,0.917,1346.333,641.194
2023-06-25T00:05:00,47.268,0.962,1909.638,563.192
2023-06-25T00:10:00,40.991,0.979,1716.576,673.392
2023-06-25T00:15:00,45.228,1.003,1621.512,1141.741
2023-06-25T00:20:00,47.392,1.003,1724.223,1110.944
2023-06-25T00:25:00,43.813,0.987,1675.6,836.535
2023-06-25T00:30:00,54.332,0.996,3993.943,1312.503
2023-06-25T00:35:00,46.155,0.998,2055.67,994.982
2023-06-25T00:40:00,58.679,0.994,1590.918,1543.159
2023-06-25T00:45:00,49.733,0.988,1892.129,810.337
2023-06-25T00:50:00,54.828,0.87,3536.252,907.367
2023-06-25T00:55:00,51.212,0.989,2589.01,783.942
2023-06-25T01:00:00,42.406,1.002,2714.412,586.001
2023-06-25T01:05:00,24.798,0.977,550.887,187.58
2023-06-25T01:10:00,28.699,0.969,1395.569,357.912
2023-06-25T01:15:00,32.317,0.946,652.56,275.049
2023-06-25T01:20:00,39.239,0.996,1986.973,526.316
2023-06-25T01:25:00,41.313,0.999,1029.282,505.065
2023-06-25T01:30:00,46.719,0.995,329.578,766.448
2023-06-25T01:35:00,39.195,1.004,416.421,427.592
2023-06-25T01:40:00,47.588,0.935,1727.023,796.504
2023-06-25T01:45:00,53.494,0.99,643.798,987.694
2023-06-25T01:50:00,58.091,1.003,270.394,1425.353
2023-06-25T01:55:00,62.734,0.997,1094.888,1365.534
2023-06-25T02:20:00,63.881,0.907,849.333,1426.356
2023-06-25T02:25:00,60.443,0.856,2989.757,707.776
2023-06-25T02:30:00,58.066,0.998,1109.097,950.1
2023-06-25T02:35:00,50.967,0.866,2630.81,602.532
2023-06-25T02:40:00,41.939,0.989,1366.661,491.529
2023-06-25T02:45:00,24.196,0.99,698.645,135.135
2023-06-25T02:50:00,26.836,0.964,687.113,245.61
2023-06-25T02:55:00,43.371,0.912,1028.838,551.836
2023-06-25T03:00:00,41.298,0.872,452.334,329.414
2023-06-25T03:20:00,43.109,0.948,1670.202,585.917
2023-06-25T03:25:00,39.607,1.001,276.383,461.759
2023-06-25T03:30:00,44.975,1.005,834.181,549.794
2023-06-25T03:35:00,46.588,0.99,844.891,541.035
2023-06-25T03:40:00,51.563,0.989,1885.593,596.657
2023-06-25T03:45:00,47.79,1.003,3577.958,645.087
2023-06-25T03:50:00,51.887,1.0,1936.531,688.002
2023-06-25T03:55:00,58.594,0.946,1416.565,1150.061
2023-06-25T04:00:00,51.08,0.955,3619.701,567.816
2023-06-25T04:15:00,70.5,0.941,3726.722,1119.111
2023-06-25T04:20:00,43.691,0.877,1442.759,516.372
2023-06-25T04:25:00,26.696,0.954,1813.778,186.424
2023-06-25T04:30:00,30.648,0.846,1469.206,267.597
2023-06-25T04:35:00,70.046,0.86,2039.674,983.632
2023-06-25T04:40:00,76.001,0.958,1873.832,1033.723
2023-06-25T04:45:00,72.795,0.955,1609.339,1290.178
2023-06-25T04:50:00,86.002,0.913,2166.032,2743.268
2023-06-25T04:55:00,75.287,0.946,2016.346,1302.55
2023-06-25T05:00:00,70.711,0.989,1042.645,1768.844
2023-06-25T05:05:00,61.454,0.97,393.9,1338.553
2023-06-25T05:10:00,59.273,1.0,477.074,828.294
2023-06-25T05:15:00,70.479,0.982,660.944,1627.7
2023-06-25T05:20:00,65.32,1.006,1058.532,1186.584
2023-06-25T05:25:00,71.182,1.001,1001.141,1465.86
2023-06-25T05:30:00,57.756,0.817,724.495,875.195
2023-06-25T05:45:00,65.19,0.956,800.892,1221.486
2023-06-25T05:50:00,69.901,0.934,1161.785,1431.077
2023-06-25T05:55:00,72.441,0.893,1809.634,1567.74
2023-06-25T06:00:00,47.236,0.877,1856.732,650.817
2023-06-25T06:05:00,50.264,0.91,2161.643,814.835
2023-06-25T06:10:00,57.11,0.886,1144.217,1183.97
2023-06-25T06:15:00,54.259,0.868,2302.803,765.047
2023-06-25T06:20:00,57.64,0.997,1316.192,986.013
2023-06-25T06:25:00,66.904,0.874,1704.975,871.742
2023-06-25T06:30:00,52.872,0.994,789.125,1038.607
2023-06-25T06:45:00,68.201,0.979,1171.663,1414.848
2023-06-25T06:50:00,77.48,0.87,629.508,2037.196
2023-06-25T06:55:00,64.994,0.88,2306.823,1420.719
2023-06-25T07:00:00,47.888,0.892,1617.703,591.475
2023-06-25T07:05:00,48.908,0.989,1059.475,732.261
2023-06-25T07:10:00,52.852,0.976,5238.326,763.256
2023-06-25T07:15:00,48.45,0.947,1515.423,591.09
2023-06-25T07:20:00,70.433,0.855,4605.662,1526.806
2023-06-25T07:25:00,60.767,0.921,1973.058,638.182
2023-06-25T07:30:00,59.684,1.002,1452.055,884.935
2023-06-25T07:35:00,61.32,0.843,1486.591,1066.752
2023-06-25T07:40:00,71.694,0.891,1089.98,1273.681
2023-06-25T07:45:00,61.952,0.914,1700.691,1126.469
2023-06-25T07:50:00,64.826,0.958,1527.324,994.356
2023-06-25T07:55:00,41.076,0.995,480.107,362.789
2023-06-25T08:00:00,41.565,1.003,950.727,475.661
2023-06-25T23:35:00,38.783,0.905,741.881,229.951
2023-06-25T23:40:00,49.706,0.924,683.432,766.598
2023-06-25T23:45:00,58.208,0.982,898.726,1114.99
2023-06-25T23:50:00,51.389,0.985,299.685,878.389
2023-06-25T23:55:00,49.192,0.945,787.819,742.163
