timestamp,rmssd,coverage,low_frequency,high_frequency
2023-06-29T00:00:00,24.205,0.983,153.775,176.227
2023-06-29T00:05:00,23.059,0.99,216.34,171.858
2023-06-29T00:10:00,21.584,1.003,233.981,157.565
2023-06-29T00:15:00,23.197,0.997,357.282,178.704
2023-06-29T00:20:00,23.223,0.991,462.613,160.662
2023-06-29T00:25:00,23.459,1.004,357.617,194.865
2023-06-29T00:30:00,26.403,0.987,317.797,213.034
2023-06-29T00:35:00,31.595,0.831,968.023,230.34
2023-06-29T00:40:00,23.624,1.002,608.923,251.513
2023-06-29T00:50:00,16.897,0.971,660.957,88.256
2023-06-29T00:55:00,16.682,0.987,129.585,135.41
2023-06-29T01:00:00,18.274,0.999,156.287,97.919
2023-06-29T01:05:00,25.31,0.94,742.599,153.758
2023-06-29T01:10:00,21.481,0.988,434.275,110.933
2023-06-29T01:15:00,20.26,1.003,260.852,89.242
2023-06-29T01:20:00,22.087,1.0,689.299,142.574
2023-06-29T01:25:00,23.989,0.986,472.856,132.208
2023-06-29T01:30:00,30.636,0.909,1161.272,250.307
2023-06-29T01:35:00,28.769,1.0,487.47,227.985
2023-06-29T01:40:00,28.768,0.967,1462.222,206.683
2023-06-29T01:45:00,36.254,0.957,1240.006,265.711
2023-06-29T01:50:00,38.696,1.001,540.483,383.901
2023-06-29T01:55:00,35.716,0.999,801.518,359.556
2023-06-29T02:00:00,32.186,0.938,1247.544,182.244
2023-06-29T02:05:00,39.982,0.99,1124.241,464.44
2023-06-29T02:10:00,44.701,0.98,2874.048,499.084
2023-06-29T02:15:00,41.38,1.004,2274.195,394.891
2023-06-29T02:20:00,47.738,0.971,3139.256,673.903
2023-06-29T02:25:00,27.546,0.987,1218.172,149.907
2023-06-29T02:30:00,19.829,0.989,955.615,145.978
2023-06-29T02:35:00,18.589,0.991,465.904,62.691
2023-06-29T02:40:00,29.917,0.971,1239.443,240.236
2023-06-29T02:45:00,25.827,0.885,1024.643,73.837
2023-06-29T02:50:00,44.905,0.897,1787.283,420.75
2023-06-29T02:55:00,45.41,0.912,1272.496,585.829
2023-06-29T03:00:00,46.77,0.95,1297.923,758.482
2023-06-29T03:05:00,49.275,0.991,1571.909,838.591
2023-06-29T03:10:00,37.059,1.003,924.43,470.272
2023-06-29T03:15:00,46.063,0.995,512.837,597.726
2023-06-29T03:20:00,50.123,0.971,516.778,498.399
2023-06-29T03:25:00,52.901,1.005,670.112,693.994
2023-06-29T03:30:00,66.499,0.984,806.943,1348.334
2023-06-29T03:35:00,64.26,1.0,709.878,1257.649
2023-06-29T03:40:00,68.822,0.993,863.951,1309.843
2023-06-29T03:45:00,62.419,0.929,1130.234,1383.068
2023-06-29T03:50:00,47.499,0.917,5482.869,548.848
2023-06-29T03:55:00,60.206,0.918,2377.651,1178.994
