timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2023-07-01T07:30:30,16.6,1.2,8.889,16.6,1.2,8.889,13.8,1.2,9.959,-1.0,0.0,2.349
2023-07-03T06:04:30,16.6,1.0,8.123,16.6,1.0,8.123,16.0,1.2,9.019,16.4,1.4,9.936
2023-07-04T07:05:00,13.6,1.9,18.423,14.6,0.7,3.073,13.6,1.9,18.423,15.4,1.5,5.337
2023-07-05T03:42:00,15.4,0.9,10.357,15.4,0.9,10.357,14.8,1.8,11.152,15.4,1.2,3.701
2023-07-08T07:39:00,13.6,1.2,8.014,13.6,1.2,8.014,13.4,2.2,8.28,14.4,1.5,4.828
2023-07-09T08:28:30,14.2,0.8,9.91,14.2,0.8,9.91,14.2,2.3,11.68,15.8,0.7,4.46
2023-07-10T07:41:00,13.8,1.8,12.18,13.8,1.8,12.18,14.0,1.5,8.121,16.0,2.3,4.679
2023-07-11T06:47:30,14.6,0.9,8.767,14.6,0.9,8.767,14.6,1.3,7.405,15.0,2.1,3.867
2023-07-12T07:22:30,14.4,0.9,8.833,14.4,0.9,8.833,13.8,1.3,11.106,15.6,1.3,3.865
2023-07-14T07:41:30,15.4,0.9,12.448,15.4,0.9,12.448,14.8,1.9,16.8,14.6,1.9,5.755
2023-07-15T07:50:00,15.0,1.7,6.865,15.0,1.7,6.865,14.2,1.6,15.182,13.6,0.7,5.223
2023-07-16T07:54:30,16.0,1.0,4.86,16.0,1.0,4.86,14.8,1.5,11.462,10.6,0.6,3.33
2023-07-18T07:54:30,14.6,0.7,7.023,14.6,0.7,7.023,13.8,1.5,14.343,14.6,1.9,4.248
2023-07-19T02:18:00,17.8,0.7,6.603,17.8,0.7,6.603,18.2,0.7,4.551,-1.0,0.0,2.208
2023-07-19T04:57:30,18.0,0.8,11.233,18.0,0.8,11.233,15.2,1.3,9.854,-1.0,0.0,2.419
2023-07-19T07:20:00,15.4,1.2,8.726,15.4,1.2,8.726,14.4,1.6,5.756,15.0,0.9,2.69
2023-07-20T02:11:00,15.8,0.8,4.14,15.8,0.8,4.14,16.4,0.9,7.361,-1.0,0.0,1.717
2023-07-20T07:39:30,15.8,1.3,10.181,15.8,1.3,10.181,14.6,1.3,5.043,-1.0,0.0,2.197
