timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2023-06-01T06:56:30,14.4,1.6,9.014,14.4,1.6,9.014,14.4,1.6,10.534,15.2,0.7,4.426
2023-06-02T06:41:30,14.6,0.9,11.476,14.6,0.9,11.476,13.8,1.7,11.524,15.4,0.9,4.47
2023-06-03T07:31:00,15.8,1.2,9.353,15.8,1.2,9.353,15.0,2.2,10.669,15.0,2.0,4.292
2023-06-04T07:29:30,14.8,0.5,6.165,14.8,0.5,6.165,14.8,1.7,12.021,-1.0,0.0,2.185
2023-06-05T07:00:30,15.8,1.1,9.728,15.8,1.1,9.728,14.8,1.8,12.471,16.2,1.0,4.725
2023-06-06T06:34:30,15.0,1.3,12.164,15.0,1.3,12.164,14.8,1.5,10.582,14.6,2.1,4.785
2023-06-07T07:05:30,14.6,0.9,8.11,14.6,0.9,8.11,15.0,2.1,8.463,16.0,0.5,4.246
2023-06-08T07:01:30,14.2,0.6,10.219,14.2,0.6,10.219,14.6,1.9,14.164,14.8,1.5,3.277
2023-06-09T07:14:30,15.0,2.0,11.755,15.0,2.0,11.755,14.0,1.7,13.393,14.8,0.8,5.519
2023-06-10T08:03:00,14.8,1.1,9.868,14.8,1.1,9.868,14.0,1.7,11.799,14.8,1.5,4.13
2023-06-11T08:11:00,15.0,1.2,10.983,15.0,1.2,10.983,14.6,1.2,12.53,15.4,1.1,5.927
2023-06-12T07:32:30,15.0,1.5,7.088,15.0,1.5,7.088,15.2,0.8,11.714,13.6,2.1,6.463
2023-06-13T07:40:30,14.4,1.5,14.384,14.4,1.5,14.384,14.0,1.1,12.566,13.6,1.8,3.17
2023-06-14T07:56:30,15.8,0.9,12.27,15.8,0.9,12.27,13.4,1.8,13.816,15.0,2.4,6.123
2023-06-15T07:56:30,15.4,1.3,14.162,15.4,1.3,14.162,14.0,1.9,9.107,13.8,1.5,5.737
2023-06-16T08:05:30,15.6,1.2,10.971,15.6,1.2,10.971,14.2,1.4,12.598,15.6,2.3,3.217
2023-06-17T07:52:00,14.4,1.0,13.635,14.4,1.0,13.635,14.6,1.6,9.28,14.8,1.9,6.084
2023-06-18T09:45:30,15.2,1.5,13.378,15.2,1.5,13.378,14.6,1.8,16.884,14.2,1.4,4.408
2023-06-19T07:59:30,15.4,1.7,7.956,15.4,1.7,7.956,14.8,1.5,13.168,18.6,1.4,3.407
2023-06-20T06:51:00,14.8,1.2,15.097,14.8,1.2,15.097,13.8,1.4,10.372,14.8,1.1,6.452
2023-06-21T06:53:30,15.0,1.1,15.696,15.0,1.1,15.696,14.8,1.5,9.169,15.2,2.0,5.925
2023-06-22T07:49:00,15.0,1.1,13.714,15.0,1.1,13.714,14.6,1.7,10.573,13.2,1.6,3.995
2023-06-23T07:33:30,14.6,0.7,13.181,14.6,0.7,13.181,14.8,1.9,14.114,15.8,3.2,5.694
2023-06-24T07:58:00,13.6,1.6,12.899,13.6,1.6,12.899,14.4,1.3,14.232,12.4,1.1,3.677
2023-06-25T08:09:30,14.0,1.3,9.487,14.0,1.3,9.487,13.8,1.6,10.082,14.2,1.5,5.637
2023-06-26T02:57:30,14.6,0.7,10.649,14.6,0.7,10.649,14.4,1.9,4.242,14.0,1.9,5.274
2023-06-26T08:06:30,15.0,1.6,9.535,15.0,1.6,9.535,13.6,1.6,8.231,16.0,1.2,3.264
2023-06-27T07:58:30,15.2,1.5,13.73,15.2,1.5,13.73,14.4,1.7,13.521,14.4,2.1,4.607
2023-06-28T07:47:30,14.6,1.0,8.887,14.6,1.0,8.887,14.8,1.6,11.572,16.8,1.2,3.928
2023-06-29T07:40:00,14.0,1.3,12.432,14.0,1.3,12.432,13.4,1.7,9.018,15.4,2.7,4.123
2023-06-30T07:22:00,13.2,1.0,7.464,13.2,1.0,7.464,14.6,1.8,13.979,14.4,2.1,4.943
