timestamp,rmssd,coverage,low_frequency,high_frequency
2023-06-17T00:00:00,40.209,0.993,501.522,363.529
2023-06-17T00:05:00,37.009,0.984,1265.551,284.137
2023-06-17T00:10:00,47.404,1.003,1049.55,522.255
2023-06-17T00:15:00,42.362,1.003,1921.946,533.05
2023-06-17T00:20:00,42.34,0.986,1121.266,450.112
2023-06-17T00:25:00,49.327,0.893,2339.47,718.673
2023-06-17T00:30:00,42.266,0.954,1978.596,305.004
2023-06-17T00:35:00,37.072,0.973,682.76,350.211
2023-06-17T00:40:00,35.432,1.003,1464.36,338.84
2023-06-17T00:45:00,31.332,0.981,673.684,313.753
2023-06-17T00:50:00,33.695,0.971,984.902,382.198
2023-06-17T00:55:00,37.188,1.004,541.517,467.122
2023-06-17T01:00:00,37.202,1.002,834.565,349.033
2023-06-17T01:05:00,40.435,0.989,1560.852,313.858
2023-06-17T01:10:00,46.105,0.897,789.074,821.745
2023-06-17T01:15:00,43.567,0.945,660.521,507.706
2023-06-17T01:20:00,41.653,0.986,524.099,480.201
2023-06-17T01:25:00,41.537,0.873,840.664,496.153
2023-06-17T01:30:00,39.536,1.004,2021.852,454.445
2023-06-17T01:35:00,36.322,0.995,736.224,416.435
2023-06-17T01:40:00,41.328,1.0,712.554,512.227
2023-06-17T01:45:00,38.879,1.001,679.927,486.747
2023-06-17T01:50:00,42.67,1.003,335.903,507.049
2023-06-17T01:55:00,43.559,0.995,681.582,491.808
2023-06-17T02:00:00,45.376,0.961,1058.191,508.996
2023-06-17T02:05:00,46.86,0.918,1123.473,640.071
2023-06-17T02:10:00,50.6,0.975,1235.811,789.674
2023-06-17T02:15:00,44.465,0.97,2141.269,561.306
2023-06-17T02:20:00,26.859,0.96,679.778,171.558
2023-06-17T02:25:00,27.662,0.955,860.861,138.874
2023-06-17T02:30:00,33.614,1.003,1837.025,305.338
2023-06-17T02:35:00,36.695,0.991,981.889,334.236
2023-06-17T02:40:00,58.251,0.914,2100.35,809.107
2023-06-17T02:45:00,45.004,1.004,878.331,634.387
2023-06-17T02:50:00,42.906,0.952,896.455,455.516
2023-06-17T02:55:00,46.25,0.936,1441.698,520.722
2023-06-17T03:00:00,58.905,0.974,729.427,1292.68
2023-06-17T03:05:00,54.956,1.004,634.128,863.344
2023-06-17T03:10:00,54.749,1.0,1114.742,1047.206
2023-06-17T03:15:00,58.147,0.999,792.095,1041.835
2023-06-17T03:20:00,49.423,0.985,531.325,607.211
2023-06-17T03:25:00,48.527,1.005,652.356,624.143
2023-06-17T03:30:00,57.585,0.983,591.103,1105.738
2023-06-17T03:35:00,59.592,1.005,730.921,942.682
2023-06-17T03:40:00,61.435,1.001,650.21,1287.055
2023-06-17T03:45:00,65.91,1.001,1587.946,1397.382
2023-06-17T03:50:00,64.158,0.991,1064.998,1116.981
2023-06-17T03:55:00,71.145,1.005,882.586,1694.381
2023-06-17T04:00:00,72.071,0.98,727.854,1941.151
2023-06-17T04:05:00,59.401,0.837,4056.094,727.045
2023-06-17T04:10:00,49.502,0.986,1287.924,605.851
2023-06-17T04:15:00,37.639,0.937,744.636,423.577
2023-06-17T04:20:00,40.477,0.973,1385.111,343.061
2023-06-17T04:25:00,41.352,0.977,1999.933,439.609
2023-06-17T04:30:00,40.782,0.993,1075.91,398.732
2023-06-17T04:35:00,47.278,0.895,1279.0,292.622
2023-06-17T04:40:00,57.773,0.861,815.848,832.313
2023-06-17T04:45:00,63.756,0.916,1458.717,941.879
2023-06-17T04:50:00,57.614,0.942,941.242,968.121
2023-06-17T04:55:00,51.159,1.003,801.049,660.021
2023-06-17T05:00:00,47.163,1.007,641.933,531.456
2023-06-17T05:05:00,47.966,0.98,893.869,571.516
2023-06-17T05:10:00,52.339,1.001,548.111,608.789
2023-06-17T05:15:00,54.788,0.999,834.782,826.369
2023-06-17T05:20:00,56.06,0.99,1314.253,1160.826
2023-06-17T05:25:00,58.128,1.006,847.074,815.846
2023-06-17T05:30:00,65.988,0.93,1797.256,752.066
2023-06-17T05:35:00,74.277,1.002,850.44,2009.81
2023-06-17T05:40:00,71.172,0.998,1445.102,1299.642
2023-06-17T05:45:00,68.607,0.956,2518.921,1396.644
2023-06-17T05:50:00,76.061,0.856,2551.439,1921.955
2023-06-17T05:55:00,38.447,0.943,1384.565,243.806
2023-06-17T06:00:00,36.428,1.004,1518.732,390.571
2023-06-17T06:05:00,31.185,0.966,1731.842,281.601
2023-06-17T06:10:00,32.374,0.965,617.123,241.473
2023-06-17T06:15:00,41.886,0.94,2559.842,391.593
2023-06-17T06:20:00,40.969,0.848,1743.918,388.125
2023-06-17T06:25:00,49.829,0.961,1561.15,688.038
2023-06-17T06:30:00,60.768,0.971,2406.807,690.792
2023-06-17T06:35:00,69.466,0.848,2727.947,866.459
2023-06-17T06:55:00,59.521,0.82,1144.037,675.984
2023-06-17T07:00:00,53.565,0.926,678.202,525.131
2023-06-17T07:05:00,51.414,0.896,2978.692,672.893
2023-06-17T07:10:00,49.812,0.983,1004.02,631.902
2023-06-17T07:15:00,51.995,0.919,2824.51,833.793
2023-06-17T07:20:00,58.316,0.946,4303.694,932.376
2023-06-17T07:25:00,53.925,0.859,3651.786,773.021
2023-06-17T07:30:00,37.082,0.979,784.784,198.391
2023-06-17T07:35:00,45.197,0.754,2031.698,647.133
2023-06-17T07:40:00,49.496,0.791,1764.277,857.79
2023-06-17T23:10:00,36.652,0.977,535.722,455.522
2023-06-17T23:15:00,44.219,1.003,489.145,672.678
2023-06-17T23:20:00,48.34,1.003,561.532,731.698
2023-06-17T23:25:00,47.266,1.003,303.765,633.586
2023-06-17T23:30:00,50.846,0.999,858.873,728.898
2023-06-17T23:35:00,47.578,1.004,296.1,670.747
2023-06-17T23:40:00,51.102,1.001,399.185,666.422
2023-06-17T23:45:00,48.738,0.99,435.036,685.442
2023-06-17T23:50:00,53.167,0.992,421.65,936.187
2023-06-17T23:55:00,55.212,1.003,454.942,879.954
