timestamp,rmssd,coverage,low_frequency,high_frequency
2023-05-23T00:00:00,47.57,0.994,524.357,625.752
2023-05-23T00:05:00,36.032,0.989,1616.996,555.585
2023-05-23T00:10:00,40.736,0.944,738.852,368.292
2023-05-23T00:15:00,46.44,0.973,545.318,646.944
2023-05-23T00:20:00,46.371,1.004,559.899,770.582
2023-05-23T00:25:00,52.209,0.999,775.878,787.332
2023-05-23T00:30:00,47.373,0.968,2300.766,692.144
2023-05-23T00:35:00,55.183,0.924,1735.29,817.386
2023-05-23T00:40:00,45.247,0.959,4041.541,492.331
2023-05-23T00:45:00,41.559,0.955,2136.691,499.397
2023-05-23T00:50:00,33.21,0.989,1345.466,343.728
2023-05-23T00:55:00,41.839,0.92,797.35,333.063
2023-05-23T01:00:00,40.772,1.003,1156.497,506.912
2023-05-23T01:05:00,27.096,1.002,699.398,181.546
2023-05-23T01:10:00,27.997,1.001,851.733,214.38
2023-05-23T01:15:00,36.556,1.003,528.038,445.521
2023-05-23T01:20:00,46.847,0.925,1614.299,587.084
2023-05-23T01:25:00,56.277,0.992,1855.492,987.691
2023-05-23T01:30:00,34.172,1.004,256.603,255.669
2023-05-23T01:35:00,22.135,1.002,180.38,69.254
2023-05-23T01:40:00,16.363,1.004,87.749,52.679
2023-05-23T01:45:00,11.738,0.984,157.813,28.872
2023-05-23T01:50:00,13.179,0.956,573.728,102.401
2023-05-23T01:55:00,13.792,0.976,87.49,29.84
2023-05-23T02:00:00,46.748,0.855,2296.566,492.792
2023-05-23T02:05:00,49.427,0.907,739.023,668.468
2023-05-23T02:10:00,55.46,0.857,3493.966,542.391
2023-05-23T02:15:00,43.788,0.931,3753.713,362.014
2023-05-23T02:20:00,44.573,0.869,968.872,778.297
2023-05-23T02:25:00,43.383,0.895,597.87,444.243
2023-05-23T02:30:00,46.199,0.874,856.089,328.784
2023-05-23T02:35:00,42.666,0.93,1512.714,392.384
2023-05-23T02:40:00,27.44,1.004,490.091,69.415
2023-05-23T02:45:00,22.16,0.957,439.899,156.139
2023-05-23T02:50:00,14.771,0.91,419.427,54.848
2023-05-23T02:55:00,16.715,0.966,288.821,86.913
2023-05-23T03:00:00,18.012,0.944,267.837,112.111
2023-05-23T03:05:00,28.036,0.96,865.89,182.721
2023-05-23T03:10:00,18.498,1.003,246.444,85.359
2023-05-23T03:15:00,20.451,1.002,413.364,115.542
2023-05-23T03:20:00,21.047,1.002,785.228,137.455
2023-05-23T03:25:00,26.155,0.982,217.631,161.905
2023-05-23T03:30:00,20.123,0.99,456.515,86.063
2023-05-23T03:35:00,17.625,0.976,289.664,81.614
2023-05-23T03:40:00,35.221,0.901,1536.551,460.574
2023-05-23T03:45:00,15.624,0.962,264.737,37.693
2023-05-23T03:50:00,11.886,0.982,1258.971,103.702
2023-05-23T03:55:00,22.708,0.909,401.3,88.288
2023-05-23T04:00:00,19.59,1.004,736.263,61.189
2023-05-23T04:05:00,12.506,0.993,65.712,29.712
2023-05-23T04:10:00,9.857,1.003,129.089,26.638
2023-05-23T04:15:00,17.409,0.948,822.4,37.282
2023-05-23T04:20:00,27.241,0.903,1893.408,250.636
2023-05-23T04:25:00,31.596,0.962,1133.201,130.577
2023-05-23T04:30:00,35.237,0.956,1536.913,315.573
2023-05-23T04:35:00,34.577,0.954,721.381,358.249
2023-05-23T04:40:00,33.213,0.968,994.675,405.705
2023-05-23T04:45:00,44.218,0.916,1414.45,686.99
2023-05-23T04:50:00,21.171,0.955,1546.261,195.235
2023-05-23T04:55:00,12.699,0.931,156.922,51.719
2023-05-23T05:00:00,13.53,0.946,83.443,36.356
2023-05-23T05:05:00,16.729,1.002,163.617,72.265
2023-05-23T05:10:00,16.216,0.996,131.697,105.053
2023-05-23T05:15:00,19.363,0.975,123.341,85.477
2023-05-23T05:20:00,25.352,0.916,2253.983,233.131
2023-05-23T05:25:00,11.104,0.996,33.985,33.359
2023-05-23T05:30:00,17.647,0.957,491.338,101.55
2023-05-23T05:35:00,21.364,0.943,336.74,106.546
2023-05-23T05:40:00,16.282,0.965,108.578,48.761
2023-05-23T05:45:00,15.456,0.977,23.658,48.18
2023-05-23T05:50:00,61.165,0.797,10746.898,1133.913
2023-05-23T05:55:00,45.107,0.972,844.449,538.204
2023-05-23T06:00:00,24.61,0.878,1262.387,269.875
2023-05-23T06:05:00,20.649,0.913,957.962,111.781
2023-05-23T06:10:00,17.163,0.941,340.097,74.125
2023-05-23T06:15:00,22.249,0.907,545.497,111.232
2023-05-23T06:20:00,18.133,0.929,332.47,74.971
2023-05-23T06:25:00,11.942,0.922,369.035,86.486
2023-05-23T06:30:00,16.519,0.905,2011.541,267.511
2023-05-23T06:35:00,11.399,0.988,34.556,25.422
2023-05-23T06:40:00,8.858,1.006,45.151,25.557
2023-05-23T06:45:00,9.502,0.983,11.698,22.666
2023-05-23T06:50:00,9.334,1.001,25.72,16.963
2023-05-23T06:55:00,46.91,0.916,3994.188,883.394
2023-05-23T07:00:00,13.084,1.003,811.101,147.865
2023-05-23T07:05:00,9.719,1.0,597.372,25.966
2023-05-23T07:10:00,10.201,1.004,75.157,26.386
2023-05-23T07:15:00,15.454,1.003,92.668,47.938
2023-05-23T07:20:00,16.659,1.0,557.665,114.017
