timestamp,rmssd,coverage,low_frequency,high_frequency
2023-04-14T00:05:00,39.438,1.002,1066.209,541.843
2023-04-14T00:10:00,33.93,0.989,631.27,313.418
2023-04-14T00:15:00,30.422,0.99,409.97,362.924
2023-04-14T00:20:00,29.644,1.002,391.632,234.728
2023-04-14T00:25:00,28.749,0.999,712.885,197.941
2023-04-14T00:30:00,30.268,0.978,417.785,403.355
2023-04-14T00:35:00,35.257,1.002,822.279,461.687
2023-04-14T00:40:00,42.862,0.88,1198.809,600.99
2023-04-14T00:45:00,38.931,0.98,1499.616,704.62
2023-04-14T00:50:00,26.996,0.99,2423.32,457.787
2023-04-14T00:55:00,35.304,1.002,4081.724,486.85
2023-04-14T01:00:00,41.572,0.98,4877.368,719.958
2023-04-14T01:05:00,36.212,0.963,2074.232,582.732
2023-04-14T01:10:00,65.278,0.99,5240.207,1263.82
2023-04-14T01:15:00,64.588,0.954,3479.28,1757.891
2023-04-14T01:20:00,35.193,0.928,2747.768,586.506
2023-04-14T01:25:00,20.787,0.99,1471.415,255.658
2023-04-14T01:30:00,13.592,1.001,363.74,28.031
2023-04-14T01:35:00,22.45,0.978,1888.874,241.634
2023-04-14T01:40:00,39.281,0.963,2714.295,692.209
2023-04-14T01:45:00,35.043,0.983,1206.518,419.626
2023-04-14T01:50:00,38.525,0.964,1237.79,383.113
2023-04-14T01:55:00,36.597,0.996,1215.86,715.081
2023-04-14T02:00:00,38.048,0.958,1249.776,462.713
2023-04-14T02:05:00,36.545,0.99,2379.272,487.041
2023-04-14T02:10:00,47.741,0.947,7095.16,517.917
2023-04-14T02:15:00,31.234,0.954,2044.093,322.535
2023-04-14T02:20:00,45.04,0.898,775.993,503.373
2023-04-14T02:25:00,49.092,0.904,5197.704,594.508
2023-04-14T02:30:00,42.164,0.969,1861.145,474.934
2023-04-14T02:35:00,58.009,0.967,4301.506,1210.936
2023-04-14T02:40:00,53.536,0.837,5189.29,631.183
2023-04-14T02:45:00,66.607,0.963,5802.076,1778.41
2023-04-14T02:50:00,53.29,0.924,2437.939,1551.686
2023-04-14T03:00:00,30.34,0.758,1694.302,268.858
2023-04-14T03:05:00,31.515,0.848,2691.024,232.763
2023-04-14T03:10:00,35.838,0.984,1202.736,428.323
2023-04-14T03:15:00,38.003,1.007,1577.267,362.979
2023-04-14T03:20:00,38.148,1.002,677.736,425.403
2023-04-14T03:25:00,38.266,1.002,528.053,430.928
2023-04-14T03:30:00,34.578,0.955,899.476,290.952
2023-04-14T03:35:00,32.292,1.001,597.927,252.349
2023-04-14T03:40:00,35.314,0.953,1059.278,455.123
2023-04-14T03:45:00,35.55,0.969,792.026,346.042
2023-04-14T03:50:00,36.983,1.003,698.342,329.273
2023-04-14T03:55:00,39.416,1.001,696.994,426.897
2023-04-14T04:00:00,40.513,0.995,1489.328,485.67
2023-04-14T04:05:00,39.516,0.988,1233.367,378.305
2023-04-14T04:10:00,40.593,1.003,521.336,450.559
2023-04-14T04:15:00,39.593,0.939,724.907,299.218
2023-04-14T04:20:00,50.609,0.943,4210.531,526.753
2023-04-14T04:25:00,57.161,1.003,3935.348,1273.132
2023-04-14T04:30:00,48.336,0.993,3430.553,789.876
2023-04-14T04:35:00,38.464,0.958,1425.557,513.712
2023-04-14T04:40:00,59.343,0.834,1313.174,1397.692
2023-04-14T04:45:00,53.888,0.98,1830.13,813.151
2023-04-14T04:50:00,41.715,0.988,1075.531,596.246
2023-04-14T04:55:00,56.82,0.973,1324.688,1390.75
2023-04-14T05:00:00,59.237,0.928,1662.36,1306.931
2023-04-14T05:05:00,57.208,0.897,2393.241,1202.363
2023-04-14T05:10:00,37.561,0.955,579.022,380.842
2023-04-14T05:15:00,39.374,0.981,564.792,512.805
2023-04-14T05:20:00,39.772,0.901,1831.412,499.569
2023-04-14T05:25:00,42.373,0.968,1053.938,467.21
2023-04-14T05:30:00,51.073,0.892,2892.857,889.431
2023-04-14T05:35:00,44.634,0.957,1311.553,476.542
2023-04-14T06:00:00,72.144,0.98,1789.185,1431.083
2023-04-14T06:05:00,49.691,0.925,798.751,394.711
2023-04-14T06:10:00,39.767,0.986,717.243,303.997
2023-04-14T06:15:00,41.587,0.974,2026.125,300.735
2023-04-14T06:20:00,32.21,0.926,2020.706,192.525
2023-04-14T06:25:00,56.542,0.892,1912.357,756.751
2023-04-14T06:30:00,44.863,0.936,2095.191,286.468
2023-04-14T06:35:00,57.058,0.946,2563.584,714.016
2023-04-14T06:40:00,46.702,0.929,2416.387,523.283
2023-04-14T06:45:00,44.541,0.988,2025.545,578.81
2023-04-14T06:50:00,48.374,1.001,952.0,642.046
2023-04-14T06:55:00,63.33,0.842,2078.794,1298.006
2023-04-14T07:00:00,50.347,1.003,418.22,710.423
2023-04-14T07:05:00,53.863,0.989,704.478,674.233
2023-04-14T07:10:00,51.016,0.963,572.448,739.322
