timestamp,bucket_values
2023-05-01T07:04:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.006, 0.004, 0.011, 0.022, 0.059, 0.155, 0.23, 0.221, 0.155, 0.08, 0.036, 0.014, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-05-02T06:07:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.006, 0.008, 0.013, 0.039, 0.091, 0.163, 0.335, 0.214, 0.069, 0.035, 0.013, 0.006, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-05-03T07:04:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.004, 0.004, 0.008, 0.015, 0.032, 0.1, 0.226, 0.245, 0.183, 0.108, 0.047, 0.016, 0.006, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-05-04T06:58:00,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.004, 0.016, 0.108, 0.176, 0.191, 0.181, 0.137, 0.164, 0.015, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-05-05T07:02:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.005, 0.005, 0.01, 0.038, 0.069, 0.139, 0.222, 0.237, 0.155, 0.081, 0.028, 0.007, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-05-06T07:22:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.004, 0.004, 0.004, 0.014, 0.048, 0.105, 0.158, 0.258, 0.267, 0.087, 0.038, 0.009, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-05-07T08:19:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.004, 0.004, 0.014, 0.023, 0.062, 0.164, 0.225, 0.212, 0.154, 0.081, 0.035, 0.014, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-05-08T07:06:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.004, 0.005, 0.012, 0.032, 0.09, 0.144, 0.169, 0.179, 0.155, 0.117, 0.057, 0.022, 0.008, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-05-09T05:35:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.004, 0.008, 0.018, 0.062, 0.125, 0.117, 0.229, 0.342, 0.083, 0.006, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-05-10T06:51:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.004, 0.005, 0.005, 0.011, 0.03, 0.088, 0.158, 0.431, 0.14, 0.074, 0.033, 0.014, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
