timestamp,rmssd,coverage,low_frequency,high_frequency
2023-04-29T00:35:00,8.512,0.962,43.28,29.201
2023-04-29T00:40:00,7.729,0.988,66.717,21.862
2023-04-29T00:45:00,9.625,0.997,135.969,29.055
2023-04-29T00:50:00,21.769,0.99,174.549,103.039
2023-04-29T00:55:00,15.785,0.983,103.223,63.141
2023-04-29T01:00:00,38.918,0.986,278.578,411.298
2023-04-29T01:05:00,29.681,1.002,381.436,152.772
2023-04-29T01:10:00,40.975,1.005,146.178,361.019
2023-04-29T01:15:00,20.042,0.994,141.483,72.368
2023-04-29T01:20:00,30.352,0.993,309.651,114.942
2023-04-29T01:25:00,55.398,1.0,553.177,846.54
2023-04-29T01:30:00,47.751,0.99,659.147,487.312
2023-04-29T01:35:00,48.196,0.986,284.522,585.991
2023-04-29T01:40:00,50.521,1.004,738.944,588.764
2023-04-29T01:45:00,8.697,1.0,18.747,14.004
2023-04-29T01:50:00,21.952,0.722,788.274,45.372
2023-04-29T01:55:00,46.739,0.944,2473.451,622.048
2023-04-29T02:00:00,38.461,0.902,2475.311,346.199
2023-04-29T02:05:00,25.094,0.916,753.282,140.447
2023-04-29T02:10:00,24.62,0.958,1366.282,166.753
2023-04-29T02:15:00,22.569,0.963,489.728,94.418
2023-04-29T02:20:00,39.593,0.898,2425.021,457.265
2023-04-29T02:25:00,38.85,0.948,2863.3,517.029
2023-04-29T03:00:00,46.543,0.993,970.756,628.527
2023-04-29T03:05:00,44.745,0.995,954.83,635.373
2023-04-29T03:10:00,43.037,1.002,685.782,599.296
2023-04-29T03:15:00,42.881,0.987,988.041,479.776
2023-04-29T03:20:00,48.115,1.002,997.306,665.537
2023-04-29T03:25:00,47.493,1.003,773.975,757.624
2023-04-29T03:30:00,46.03,0.995,884.226,637.221
2023-04-29T03:35:00,50.681,0.888,849.852,638.917
2023-04-29T03:40:00,26.351,0.985,348.643,125.802
2023-04-29T03:45:00,36.509,0.976,1297.838,368.947
2023-04-29T03:50:00,33.191,0.992,1390.072,325.719
2023-04-29T03:55:00,32.559,0.954,1909.559,302.045
2023-04-29T04:00:00,26.891,0.968,1277.216,143.852
2023-04-29T04:05:00,40.711,0.918,2376.812,376.853
2023-04-29T04:10:00,39.032,0.933,1156.105,344.564
2023-04-29T04:15:00,61.695,0.847,1721.389,709.956
2023-04-29T04:20:00,42.011,0.993,1099.811,359.187
2023-04-29T04:25:00,41.449,0.98,1037.838,516.479
2023-04-29T04:30:00,42.949,0.967,1018.103,501.903
2023-04-29T04:35:00,37.15,0.993,829.748,424.296
2023-04-29T04:40:00,38.581,1.004,897.947,365.444
2023-04-29T04:45:00,36.904,0.999,405.183,376.97
2023-04-29T04:50:00,41.287,0.99,813.509,446.285
2023-04-29T04:55:00,39.946,1.003,943.939,337.888
2023-04-29T05:00:00,39.605,1.004,1187.142,435.76
2023-04-29T05:05:00,37.257,0.999,1029.265,331.877
2023-04-29T05:10:00,40.077,1.005,1758.952,403.405
2023-04-29T05:15:00,41.775,0.899,1109.641,433.214
2023-04-29T05:20:00,63.879,0.892,1011.648,852.491
2023-04-29T05:25:00,100.412,1.005,4279.579,2806.659
2023-04-29T05:30:00,84.651,0.898,4261.515,2383.258
2023-04-29T05:35:00,55.821,0.773,3163.225,1046.72
2023-04-29T05:40:00,46.337,0.918,1012.049,351.016
2023-04-29T05:45:00,40.711,0.865,1724.229,386.182
2023-04-29T05:50:00,33.695,0.99,2424.984,210.411
2023-04-29T05:55:00,31.758,0.96,1336.853,297.42
2023-04-29T06:00:00,36.947,0.893,972.157,340.183
2023-04-29T06:05:00,42.749,0.924,1790.035,394.185
2023-04-29T06:10:00,59.685,0.927,2929.119,385.733
2023-04-29T06:15:00,53.533,0.985,1331.463,716.831
2023-04-29T06:20:00,62.108,0.994,1885.779,972.007
2023-04-29T06:25:00,53.252,0.989,1101.09,702.481
2023-04-29T06:30:00,45.839,1.004,741.322,542.244
2023-04-29T06:35:00,47.339,1.001,915.398,494.067
2023-04-29T06:40:00,50.782,0.998,1093.875,586.409
2023-04-29T06:45:00,52.003,1.002,992.634,537.094
2023-04-29T06:50:00,55.035,0.998,1252.195,747.739
2023-04-29T06:55:00,69.372,0.925,3776.198,1275.309
2023-04-29T07:00:00,63.676,0.985,1207.763,1109.711
2023-04-29T07:05:00,60.049,0.996,1114.223,966.573
2023-04-29T07:10:00,58.423,0.993,856.182,814.813
2023-04-29T07:15:00,60.849,0.987,2229.509,905.636
2023-04-29T07:20:00,68.261,0.855,1863.189,894.96
2023-04-29T07:25:00,66.216,0.975,2509.573,1429.44
2023-04-29T07:30:00,64.612,0.931,1697.809,829.576
2023-04-29T07:35:00,71.765,0.888,1937.271,708.92
2023-04-29T07:40:00,57.111,0.952,2130.87,1161.063
2023-04-29T07:45:00,61.608,0.952,2286.839,1031.253
2023-04-29T07:50:00,76.019,0.842,2578.992,1349.496
2023-04-29T07:55:00,69.314,0.974,1626.024,1334.902
