timestamp,rmssd,coverage,low_frequency,high_frequency
2023-06-05T00:10:00,48.505,0.84,1425.296,481.874
2023-06-05T00:15:00,60.465,1.003,1164.736,893.416
2023-06-05T00:20:00,61.463,0.982,893.189,936.957
2023-06-05T00:25:00,66.431,1.004,559.581,1334.876
2023-06-05T00:30:00,68.033,1.004,593.151,1252.673
2023-06-05T00:35:00,60.734,0.997,1328.613,877.706
2023-06-05T00:40:00,62.105,1.004,389.035,859.185
2023-06-05T00:45:00,51.903,1.002,551.207,672.683
2023-06-05T00:50:00,60.002,1.003,1149.228,1459.477
2023-06-05T00:55:00,51.877,1.003,364.956,679.499
2023-06-05T01:00:00,49.048,0.968,4571.372,791.085
2023-06-05T01:05:00,50.255,0.996,5429.304,776.294
2023-06-05T01:10:00,33.655,1.002,1354.998,291.348
2023-06-05T01:15:00,23.758,0.988,374.197,142.113
2023-06-05T01:20:00,28.827,1.003,1347.245,330.606
2023-06-05T01:25:00,20.941,1.001,805.842,132.909
2023-06-05T01:30:00,38.87,0.951,1920.023,319.813
2023-06-05T01:35:00,40.804,0.957,1033.804,356.82
2023-06-05T01:40:00,43.201,0.999,380.846,520.951
2023-06-05T01:45:00,44.345,0.986,892.079,482.367
2023-06-05T01:50:00,42.279,1.003,869.537,387.957
2023-06-05T01:55:00,41.187,1.003,373.807,444.707
2023-06-05T02:00:00,42.089,1.005,728.448,446.932
2023-06-05T02:05:00,44.291,1.002,410.859,474.228
2023-06-05T02:10:00,50.79,0.95,3173.045,530.603
2023-06-05T02:15:00,48.754,0.938,675.098,658.325
2023-06-05T02:20:00,50.328,0.99,821.167,697.263
2023-06-05T02:25:00,48.599,0.966,2788.536,689.807
2023-06-05T02:30:00,63.618,0.849,3935.981,942.382
2023-06-05T02:35:00,62.335,1.004,3387.672,1120.964
2023-06-05T02:40:00,59.496,0.87,2472.789,579.823
2023-06-05T02:45:00,46.66,0.897,1105.203,566.453
2023-06-05T02:50:00,41.831,1.003,669.64,527.423
2023-06-05T02:55:00,43.223,0.996,1039.848,523.368
2023-06-05T03:00:00,42.394,1.005,2487.537,434.424
2023-06-05T03:05:00,44.613,0.975,1031.752,439.528
2023-06-05T03:10:00,43.038,1.004,1884.215,486.638
2023-06-05T03:15:00,45.153,1.006,1622.239,534.025
2023-06-05T03:20:00,44.746,1.001,1030.311,528.787
2023-06-05T03:25:00,62.117,0.937,4679.596,1077.611
2023-06-05T03:30:00,66.558,0.956,5488.067,828.503
2023-06-05T03:35:00,60.73,1.002,4034.919,1113.073
2023-06-05T03:40:00,48.768,0.933,1022.053,470.952
2023-06-05T03:45:00,57.239,0.918,2969.412,1369.838
2023-06-05T03:50:00,32.442,1.001,941.192,237.15
2023-06-05T03:55:00,33.836,0.987,561.76,283.597
2023-06-05T04:00:00,47.093,0.963,1229.245,409.457
2023-06-05T04:05:00,68.501,0.976,2693.637,1012.329
2023-06-05T04:10:00,64.518,0.96,1284.108,1187.034
2023-06-05T04:15:00,57.591,0.912,2516.169,856.641
2023-06-05T04:20:00,48.452,0.924,1605.873,535.858
2023-06-05T04:25:00,65.245,1.004,1298.07,1495.725
2023-06-05T04:30:00,63.241,0.902,2012.328,911.561
2023-06-05T04:35:00,54.384,0.966,2227.585,766.094
2023-06-05T04:40:00,61.853,0.988,794.946,1329.67
2023-06-05T04:45:00,62.472,0.987,1336.076,1042.632
2023-06-05T04:50:00,59.873,1.004,1162.505,1108.736
2023-06-05T04:55:00,65.48,0.825,6055.371,1034.831
2023-06-05T05:00:00,64.946,0.83,1070.278,1063.617
2023-06-05T05:05:00,63.126,1.001,2207.122,1033.506
2023-06-05T05:10:00,46.819,0.993,3512.234,725.28
2023-06-05T05:15:00,44.179,0.975,926.561,444.891
2023-06-05T05:20:00,52.636,0.848,1826.744,465.761
2023-06-05T05:25:00,62.554,0.897,2594.096,860.187
2023-06-05T05:30:00,75.789,1.001,1632.393,1650.061
2023-06-05T05:35:00,82.459,0.984,1245.205,1884.822
2023-06-05T05:40:00,75.407,1.003,500.81,1908.706
2023-06-05T05:45:00,63.34,0.977,1678.716,1509.288
2023-06-05T05:50:00,62.571,1.004,1636.626,1077.01
2023-06-05T05:55:00,49.406,0.988,657.086,835.375
2023-06-05T06:00:00,60.799,0.905,2902.263,1048.15
2023-06-05T06:05:00,52.518,0.95,1336.565,769.879
2023-06-05T06:10:00,66.865,1.002,1602.99,1146.588
2023-06-05T06:15:00,58.031,1.003,965.468,986.825
2023-06-05T06:20:00,56.569,1.002,1152.972,937.068
2023-06-05T06:25:00,48.658,1.006,1572.799,665.371
2023-06-05T06:30:00,55.187,0.972,1000.759,657.88
2023-06-05T06:35:00,48.314,0.926,2634.455,546.082
2023-06-05T06:40:00,35.918,0.942,1400.951,273.038
2023-06-05T06:45:00,56.506,0.763,2964.166,1108.04
2023-06-05T06:50:00,37.001,0.872,2876.437,226.672
