timestamp,rmssd,coverage,low_frequency,high_frequency
2023-04-18T00:30:00,40.766,0.923,1289.571,440.176
2023-04-18T00:35:00,46.974,0.987,1877.374,658.715
2023-04-18T00:40:00,47.602,0.994,1384.717,857.99
2023-04-18T00:45:00,44.992,1.003,765.844,602.172
2023-04-18T00:50:00,48.394,0.998,452.66,806.666
2023-04-18T00:55:00,43.842,0.995,603.65,594.513
2023-04-18T01:00:00,44.482,1.004,450.468,777.47
2023-04-18T01:05:00,46.893,0.967,855.356,943.647
2023-04-18T01:10:00,45.431,1.002,779.484,672.013
2023-04-18T01:15:00,37.839,0.975,1033.482,572.332
2023-04-18T01:20:00,42.67,0.999,781.949,664.931
2023-04-18T01:25:00,45.544,0.928,1162.589,509.025
2023-04-18T01:30:00,54.127,0.956,2446.99,891.533
2023-04-18T01:35:00,38.476,1.0,614.021,806.914
2023-04-18T01:40:00,38.927,0.993,410.515,602.684
2023-04-18T01:45:00,33.085,0.99,1400.646,568.649
2023-04-18T01:50:00,36.989,0.968,2540.616,433.913
2023-04-18T01:55:00,32.292,0.96,593.311,386.496
2023-04-18T02:00:00,49.723,0.994,1105.388,950.04
2023-04-18T02:05:00,42.707,0.944,1120.601,573.731
2023-04-18T02:10:00,32.368,0.998,434.669,333.713
2023-04-18T02:15:00,36.358,0.994,354.947,388.093
2023-04-18T02:20:00,41.696,0.985,713.69,518.104
2023-04-18T02:25:00,45.508,0.953,875.514,532.718
2023-04-18T02:30:00,51.292,1.002,612.612,848.844
2023-04-18T02:35:00,45.35,0.919,1322.315,628.031
2023-04-18T02:40:00,45.23,1.003,889.783,759.615
2023-04-18T02:45:00,43.37,0.992,605.793,552.624
2023-04-18T02:50:00,49.172,0.995,947.671,725.534
2023-04-18T02:55:00,56.333,0.9,1254.287,695.028
2023-04-18T03:00:00,30.299,0.996,920.162,268.586
2023-04-18T03:05:00,61.548,1.0,665.312,1274.529
2023-04-18T03:10:00,62.163,1.006,672.278,1567.864
2023-04-18T03:15:00,58.977,0.999,900.886,1102.655
2023-04-18T03:20:00,68.511,0.916,894.258,1870.296
2023-04-18T03:25:00,56.215,0.944,2621.605,979.12
2023-04-18T03:30:00,52.288,1.002,2288.833,686.629
2023-04-18T03:35:00,35.988,0.906,2480.218,378.481
2023-04-18T03:40:00,26.771,0.992,659.154,160.159
2023-04-18T03:45:00,28.841,0.972,1134.065,212.529
2023-04-18T03:50:00,33.181,0.961,864.16,202.583
2023-04-18T03:55:00,33.687,0.972,624.563,192.735
2023-04-18T04:00:00,35.276,0.974,815.213,175.221
2023-04-18T04:05:00,41.452,0.873,1830.377,319.337
2023-04-18T04:10:00,48.896,0.992,1596.476,778.459
2023-04-18T04:15:00,38.461,1.002,1788.423,374.357
2023-04-18T04:20:00,34.148,0.992,593.056,285.348
2023-04-18T04:25:00,52.839,0.881,3270.972,497.858
2023-04-18T04:30:00,41.807,1.003,975.759,388.905
2023-04-18T04:35:00,41.693,1.001,707.158,508.718
2023-04-18T04:40:00,43.243,0.995,653.651,632.212
2023-04-18T04:45:00,59.396,1.004,1885.736,1362.367
2023-04-18T04:50:00,52.776,1.001,535.455,920.331
2023-04-18T04:55:00,53.021,0.992,842.001,1142.764
2023-04-18T05:00:00,51.124,0.994,544.37,810.85
2023-04-18T05:05:00,45.664,1.004,1690.43,433.5
2023-04-18T05:10:00,54.78,0.949,713.185,970.96
2023-04-18T05:15:00,56.153,0.935,2758.812,921.313
2023-04-18T05:20:00,55.545,0.924,2009.589,969.35
2023-04-18T05:25:00,58.085,0.895,2073.631,878.321
2023-04-18T05:30:00,52.459,0.9,2840.47,899.863
2023-04-18T05:35:00,35.849,0.98,691.394,308.255
2023-04-18T05:40:00,41.874,0.978,1995.944,379.363
2023-04-18T05:45:00,44.432,0.929,3244.161,401.415
2023-04-18T05:50:00,52.01,0.93,1016.163,929.639
2023-04-18T05:55:00,38.368,0.909,1445.307,413.448
2023-04-18T06:00:00,45.899,0.975,854.91,390.089
2023-04-18T06:05:00,45.866,0.93,1909.79,423.121
2023-04-18T06:10:00,48.876,0.704,5242.053,399.642
2023-04-18T06:20:00,60.746,0.964,1771.338,1185.102
2023-04-18T06:25:00,14.226,0.955,96.792,53.115
2023-04-18T06:30:00,20.057,0.964,347.352,97.893
2023-04-18T06:35:00,38.856,1.005,669.224,406.481
2023-04-18T06:40:00,32.581,0.993,521.93,228.938
2023-04-18T06:45:00,42.576,0.986,466.439,579.297
2023-04-18T06:50:00,32.288,1.002,961.382,303.759
2023-04-18T06:55:00,41.369,1.004,857.033,690.919
2023-04-18T07:00:00,36.182,0.926,4433.056,530.036
