DATE,UPDATED_AT,STRESS_SCORE,SLEEP_POINTS,MAX_SLEEP_POINTS,RESPONSIVENESS_POINTS,MAX_RESPONSIVENESS_POINTS,EXERTION_POINTS,MAX_EXERTION_POINTS,STATUS,CALCULATION_FAILED
2025-07-04T00:00:00,2025-07-05T01:31:33.138,0,0,0,0,0,0,0,NO_DATA,true
2025-07-05T00:00:00,2025-07-05T20:34:57.479,73,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2025-07-06T00:00:00,2025-07-07T00:54:38.876,76,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2025-07-07T00:00:00,2025-07-07T14:43:11.903,72,0,0,0,0,0,0,READY_NOT_PREMIUM,false
