id,title,body,priority,destination,creation_time,expiration_time,left_action_text,right_action_text,entity_id,entity_type
6720594466406398400,Your score is on the way...,"Get good rest today, and check back soon! Sleep, resting heart rate, and heart rate variability impact your readiness to train. Personalizing your score takes time.",1000,DESTINATION_DAILY_READINESS_L2,2025-07-07T14:43:16.041092Z,2025-07-08T06:59:59.999999999Z,,,,ENTITY_TYPE_UNSPECIFIED
8128110488927583408,Your target load is on the way...,"Your target load is personalized based on your age, gender, and heart rate during physical activity. Along with readiness, this target load helps you plan your workouts.",1000,DESTINATION_CARDIO_LOAD_L2,2025-07-07T07:14:47.609727Z,2025-07-08T06:59:59.999999999Z,,,,ENTITY_TYPE_UNSPECIFIED
