wire_id,device_type,serial_number,enabled,fw_version
c9d1a4dc7411,Blaze,1174dca4d1c9,false,APP17.8.402.1 BSL17.1.28
6120AF6D6442,Charge 6,,false,APP66.20001.214.24 BSL66.0.0 PERIPH|BT_RADIO|1.5378.0|0 PERIPH|BT_NFC|66.3.10|0 PERIPH|TOUCH|9.0.8|2 PERIPH|GPS|66.0.5|1 ASSETS|1|12541
