timestamp,heart_rate,steps,sleep_deep_minutes,sleep_light_minutes,sleep_rem_minutes,sleep_awakenings,hrv_rmssd,hrv_coverage,primary_non_step_activity_N/A,caffeine_user_N/A,reports_high_stress_N/A,hour,hr_rolling_avg,hr_rolling_std
2025-07-04 17:57:21+00:00,145,50,0,0,0,0,0,0,1.0,1.0,1.0,17,108.82191780821918,10.527261772870714
2025-07-04 17:57:24+00:00,145,50,0,0,0,0,0,0,1.0,1.0,1.0,17,109.02739726027397,10.933621165912243
2025-07-04 17:57:30+00:00,142,50,0,0,0,0,0,0,1.0,1.0,1.0,17,109.7687074829932,11.943971957692446
2025-07-04 17:57:32+00:00,149,50,0,0,0,0,0,0,1.0,1.0,1.0,17,110.02721088435374,12.374269358936658
2025-07-04 17:57:35+00:00,149,50,0,0,0,0,0,0,1.0,1.0,1.0,17,110.29452054794521,12.828937015237091
2025-07-04 18:05:58+00:00,141,64,0,0,0,0,0,0,1.0,1.0,1.0,18,128.05755395683454,5.165057885345553
2025-07-04 18:06:00+00:00,144,64,0,0,0,0,0,0,1.0,1.0,1.0,18,128.16546762589928,5.338670955354205
2025-07-04 18:06:01+00:00,145,64,0,0,0,0,0,0,1.0,1.0,1.0,18,128.28571428571428,5.506419686098493
2025-07-04 18:06:03+00:00,146,64,0,0,0,0,0,0,1.0,1.0,1.0,18,128.5179856115108,5.644482387254569
2025-07-04 18:06:06+00:00,146,64,0,0,0,0,0,0,1.0,1.0,1.0,18,128.70503597122303,5.789111765622953
2025-07-04 18:06:07+00:00,147,64,0,0,0,0,0,0,1.0,1.0,1.0,18,128.8357142857143,5.971889442617649
2025-07-04 18:06:09+00:00,148,64,0,0,0,0,0,0,1.0,1.0,1.0,18,129.0935251798561,6.124188306260543
2025-07-04 18:06:12+00:00,148,64,0,0,0,0,0,0,1.0,1.0,1.0,18,129.28776978417267,6.291522481479927
2025-07-04 18:06:13+00:00,147,64,0,0,0,0,0,0,1.0,1.0,1.0,18,129.4142857142857,6.445103784689824
2025-07-04 18:06:15+00:00,146,64,0,0,0,0,0,0,1.0,1.0,1.0,18,129.5857142857143,6.564550222974558
2025-07-04 18:06:18+00:00,146,64,0,0,0,0,0,0,1.0,1.0,1.0,18,129.75,6.685240911374126
2025-07-04 18:06:19+00:00,144,64,0,0,0,0,0,0,1.0,1.0,1.0,18,129.90714285714284,6.759907653968442
2025-07-04 18:06:22+00:00,144,64,0,0,0,0,0,0,1.0,1.0,1.0,18,130.06428571428572,6.830118144992748
2025-07-04 18:06:24+00:00,146,64,0,0,0,0,0,0,1.0,1.0,1.0,18,130.17730496453902,6.93673831127673
2025-07-04 18:06:27+00:00,146,64,0,0,0,0,0,0,1.0,1.0,1.0,18,130.35714285714286,7.0650333908568115
2025-07-04 18:06:28+00:00,148,64,0,0,0,0,0,0,1.0,1.0,1.0,18,130.5,7.217584442166248
2025-07-04 18:06:30+00:00,149,64,0,0,0,0,0,0,1.0,1.0,1.0,18,130.64285714285714,7.383699165099022
2025-07-04 18:06:32+00:00,150,64,0,0,0,0,0,0,1.0,1.0,1.0,18,130.78571428571428,7.5624838086817
2025-07-04 18:06:34+00:00,152,64,0,0,0,0,0,0,1.0,1.0,1.0,18,130.92857142857142,7.771598223765786
2025-07-04 18:06:36+00:00,153,64,0,0,0,0,0,0,1.0,1.0,1.0,18,131.08510638297872,7.963747647664928
2025-07-04 18:06:38+00:00,154,64,0,0,0,0,0,0,1.0,1.0,1.0,18,131.24113475177305,8.193987960882337
2025-07-04 18:06:40+00:00,156,64,0,0,0,0,0,0,1.0,1.0,1.0,18,131.4113475177305,8.4549824042918
2025-07-04 18:06:42+00:00,157,64,0,0,0,0,0,0,1.0,1.0,1.0,18,131.59154929577466,8.694299860533482
2025-07-04 18:06:44+00:00,158,64,0,0,0,0,0,0,1.0,1.0,1.0,18,131.7659574468085,9.003680436250482
2025-07-04 18:06:47+00:00,158,64,0,0,0,0,0,0,1.0,1.0,1.0,18,131.94326241134752,9.270362182508155
2025-07-04 18:06:50+00:00,158,64,0,0,0,0,0,0,1.0,1.0,1.0,18,132.14285714285714,9.559033866902883
2025-07-04 18:06:53+00:00,158,64,0,0,0,0,0,0,1.0,1.0,1.0,18,132.33812949640287,9.840432679327906
2025-07-04 18:06:56+00:00,158,64,0,0,0,0,0,0,1.0,1.0,1.0,18,132.5179856115108,10.078210473469955
2025-07-04 18:06:59+00:00,158,64,0,0,0,0,0,0,1.0,1.0,1.0,18,132.68115942028984,10.343011680196284
2025-07-04 18:07:01+00:00,159,64,0,0,0,0,0,0,1.0,1.0,1.0,18,132.84057971014494,10.576966005447991
2025-07-04 18:07:03+00:00,158,64,0,0,0,0,0,0,1.0,1.0,1.0,18,133.0,10.788612542115073
2025-07-04 18:07:06+00:00,158,64,0,0,0,0,0,0,1.0,1.0,1.0,18,133.17391304347825,10.996292038267464
2025-07-04 18:07:09+00:00,160,64,0,0,0,0,0,0,1.0,1.0,1.0,18,133.36231884057972,11.23078539413305
2025-07-04 18:07:11+00:00,160,64,0,0,0,0,0,0,1.0,1.0,1.0,18,133.56521739130434,11.45665045872303
2025-07-04 18:07:12+00:00,162,64,0,0,0,0,0,0,1.0,1.0,1.0,18,133.76978417266187,11.667070311914934
2025-07-04 18:07:15+00:00,162,64,0,0,0,0,0,0,1.0,1.0,1.0,18,134.03623188405797,11.941102065735713
2025-07-04 18:07:16+00:00,163,64,0,0,0,0,0,0,1.0,1.0,1.0,18,134.24460431654677,12.148741049235143
